a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,7.36,Golden State Warriors,foul,,,,,,,,,,Thompson,,,,,,Shooting,,,7-11,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=35,
,,,,,,,,,,1,7.36,Los Angeles Clippers,free throw,,,,,,,1,,2,Jordan,,,foul,missed,,,,,7-11,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=36,
,,,,,,,,,,1,7.36,Los Angeles Clippers,rebound,,,,,,,,,,,,,,,,,,,7-11,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=37,
,,,,,,,,,,1,7.36,Los Angeles Clippers,free throw,,,,,,,2,,2,Jordan,1,,foul,made,,,,,8-11,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=38,
,,,,,,,,,,1,7.27,Los Angeles Clippers,foul,,,,,,,,,,Jordan,,,,,,Shooting,,,8-11,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=40,
,,,,,,,,,,1,7.27,Golden State Warriors,free throw,,,,,,,1,,2,Lee,1,,foul,made,,,,,8-12,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=41,
,,,,,,,,,,1,7.27,Golden State Warriors,substitute,,,,Ezeli,,Biedrins,,,,,,,,,,,,,8-12,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=43,
,,,,,,,,,,1,7.27,Golden State Warriors,free throw,,,,,,,2,,2,Lee,1,,foul,made,,,,,8-13,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=44,
,,,,,,,,,,1,7.15,Los Angeles Clippers,shot,,,,,,,,,,Green,,,,missed,,3PT Jump Shot,,,8-13,26,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=46,
,,,,,,,,,,1,7.14,Golden State Warriors,rebound,,,,,,,,,,Barnes,,,,,,,,,8-13,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=47,
,,,,,,,,,,1,7.03,Golden State Warriors,shot,Lee,,,,,,,,,Curry,2,,,made,,Layup,,,8-15,2,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=48,
