a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,7.47,Sacramento Kings,shot,Cousins,,,,,,,,,Garcia,2,,,made,,Layup,,,8-8,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=38,
,,,,,,,,,,1,7.33,Sacramento Kings,foul,,,,,,,,,,Cousins,,,,,,Shooting,,,8-8,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=39,
,,,,,,,,,,1,7.33,Cleveland Cavaliers,free throw,,,,,,,1,,2,Zeller,1,,foul,made,,,,,8-9,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=40,
,,,,,,,,,,1,7.33,Cleveland Cavaliers,free throw,,,,,,,2,,2,Zeller,1,,foul,made,,,,,8-10,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=42,
,,,,,,,,,,1,7.22,Sacramento Kings,shot,,,,,,,,,,Cousins,,,,missed,,Jump Shot,,,8-10,19,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=44,
,,,,,,,,,,1,7.21,Sacramento Kings,rebound,,,,,,,,,,Cousins,,,,,,,,,8-10,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=45,
,,,,,,,,,,1,7.20,Sacramento Kings,turnover,,,,,,,,,,Cousins,,,Jump Ball Violation,,,,,,8-10,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=47,
,,,,,,,,,,1,6.58,Sacramento Kings,foul,,,,,,,,,,Garcia,,,,,,Shooting,,,8-10,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=49,
,,,,,,,,,,1,6.58,Cleveland Cavaliers,free throw,,,,,,,1,,2,Miles,1,,foul,made,,,,,8-11,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=51,
,,,,,,,,,,1,6.58,Cleveland Cavaliers,free throw,,,,,,,2,,2,Miles,1,,foul,made,,,,,8-12,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=54,
,,,,,,,,,,1,6.53,Cleveland Cavaliers,foul,,,,,,,,,,Gee,,,,,,Personal,,,8-12,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=56,
,,,,,,,,,,1,6.40,Sacramento Kings,shot,Salmons,,,,,,,,,Garcia,2,,,made,,Layup,,,10-12,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=58,
,,,,,,,,,,1,6.22,Cleveland Cavaliers,shot,,,,,,,,,,Irving,2,,,made,,Step Back Jump Shot,,,10-14,12,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=60,
,,,,,,,,,,1,6.13,Sacramento Kings,shot,Thomas,,,,,,,,,Cousins,2,,,made,,Jump Shot,,,12-14,5,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=61,
,,,,,,,,,,1,6.13,Cleveland Cavaliers,foul,,,,,,,,,,Thompson,,,,,,Shooting,,,12-14,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=62,
,,,,,,,,,,1,6.13,Sacramento Kings,free throw,,,,,,,1,,1,Cousins,1,,foul,made,,,,,13-14,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=63,
,,,,,,,,,,1,5.57,Sacramento Kings,foul,,,,,,,,,,Salmons,,,,,,Shooting,,,13-14,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=72,
,,,,,,,,,,1,5.57,Cleveland Cavaliers,timeout,,,,,,,,,,,,,,,,,,,13-14,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=73,
,,,,,,,,,,1,5.57,Cleveland Cavaliers,free throw,,,,,,,1,,2,Gee,,,foul,missed,,,,,13-14,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=77,
,,,,,,,,,,1,5.57,Cleveland Cavaliers,rebound,,,,,,,,,,,,,,,,,,,13-14,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=78,
,,,,,,,,,,1,5.57,Cleveland Cavaliers,free throw,,,,,,,2,,2,Gee,1,,foul,made,,,,,13-15,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=79,
,,,,,,,,,,1,5.41,Sacramento Kings,shot,,,,,,,,,,Salmons,2,,,made,,Step Back Jump Shot,,,15-15,13,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=81,
,,,,,,,,,,1,5.25,Cleveland Cavaliers,turnover,,,,,,,,,,Zeller,,,Bad Pass,,,,,,15-15,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=82,
,,,,,,,,,,1,5.19,Sacramento Kings,shot,,,,,,,,,,Thomas,,,,missed,,Jump Shot,,,15-15,15,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=83,
,,,,,,,,,,1,5.18,Cleveland Cavaliers,rebound,,,,,,,,,,Thompson,,,,,,,,,15-15,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=84,
,,,,,,,,,,1,5.05,Cleveland Cavaliers,shot,,,,,,,,,,Zeller,,,,missed,,Jump Shot,,,15-15,13,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=85,
,,,,,,,,,,1,5.01,Sacramento Kings,rebound,,,,,,,,,,Garcia,,,,,,,,,15-15,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=86,
,,,,,,,,,,1,4.46,Sacramento Kings,shot,,,,,,,,,,Thompson,,,,missed,,Jump Shot,,,15-15,10,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=87,
,,,,,,,,,,1,4.46,Sacramento Kings,rebound,,,,,,,,,,Garcia,,,,,,,,,15-15,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=88,
,,,,,,,,,,1,4.46,Cleveland Cavaliers,foul,,,,,,,,,,Miles,,,,,,Personal,,,15-15,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=89,
,,,,,,,,,,1,4.46,Cleveland Cavaliers,substitute,,,,Walton,,Thompson,,,,,,,,,,,,,15-15,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=90,
