a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,12.00,Miami Heat,jumpball,,Hibbert,,,Bosh,,,,,,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0041200302&GameEventID=1
,,,,,,,,,,1,11.42,Indiana Pacers,shot,West,,,,,,,,,George,2,,,made,,Jump Bank Shot,,,2-0,5,http://stats.nba.com/cvp.html?GameID=0041200302&GameEventID=2
,,,,,,,,,,1,11.17,Miami Heat,shot,,,,,,,,,,James,2,,,made,,Floating Jump Shot,,,2-2,7,http://stats.nba.com/cvp.html?GameID=0041200302&GameEventID=3
,,,,,,,,,,1,10.51,Indiana Pacers,turnover,,,,,,,,,,,,,Shot Clock,,,,,,2-2,,http://stats.nba.com/cvp.html?GameID=0041200302&GameEventID=4
,,,,,,,,,,1,10.33,Miami Heat,shot,,,,,,,,,,Wade,2,,,made,,Jump Shot,,,2-4,20,http://stats.nba.com/cvp.html?GameID=0041200302&GameEventID=5
,,,,,,,,,,1,10.18,Indiana Pacers,shot,George,,,,,,,,,Hibbert,2,,,made,,Hook Shot,,,4-4,7,http://stats.nba.com/cvp.html?GameID=0041200302&GameEventID=6
,,,,,,,,,,1,10.02,Miami Heat,turnover,,,,,,,,,,Bosh,,,Bad Pass,,,,,,4-4,,http://stats.nba.com/cvp.html?GameID=0041200302&GameEventID=7
,,,,,,,,,,1,9.47,Miami Heat,foul,,,,,,,,,,Haslem,,,,,,Shooting,,,4-4,,http://stats.nba.com/cvp.html?GameID=0041200302&GameEventID=8
,,,,,,,,,,1,9.47,Indiana Pacers,free throw,,,,,,,1,,2,West,1,,foul,made,,,,,5-4,,http://stats.nba.com/cvp.html?GameID=0041200302&GameEventID=9
,,,,,,,,,,1,9.47,Indiana Pacers,free throw,,,,,,,2,,2,West,1,,foul,made,,,,,6-4,,http://stats.nba.com/cvp.html?GameID=0041200302&GameEventID=11
,,,,,,,,,,1,9.32,Miami Heat,shot,,,,,,,,,,Wade,,,,missed,,Driving Jump Shot,,,6-4,6,http://stats.nba.com/cvp.html?GameID=0041200302&GameEventID=13
,,,,,,,,,,1,9.31,Indiana Pacers,rebound,,,,,,,,,,Hibbert,,,,,,,,,6-4,,http://stats.nba.com/cvp.html?GameID=0041200302&GameEventID=14
,,,,,,,,,,1,9.13,Indiana Pacers,shot,,,,,,,,,,Hill,2,,,made,,Pullup Jump Shot,,,8-4,20,http://stats.nba.com/cvp.html?GameID=0041200302&GameEventID=15
,,,,,,,,,,1,8.57,Miami Heat,shot,Chalmers,,,,,,,,,James,3,,,made,,3PT Jump Shot,,,8-7,,http://stats.nba.com/cvp.html?GameID=0041200302&GameEventID=16
,,,,,,,,,,1,8.33,Indiana Pacers,shot,,,,,,,,,,George,,,,missed,,Fadeaway Jumper,,,8-7,13,http://stats.nba.com/cvp.html?GameID=0041200302&GameEventID=17
,,,,,,,,,,1,8.32,Miami Heat,rebound,,,,,,,,,,Haslem,,,,,,,,,8-7,,http://stats.nba.com/cvp.html?GameID=0041200302&GameEventID=18
,,,,,,,,,,1,8.27,Miami Heat,shot,,,,,,,,,,James,2,,,made,,Jump Shot,,,8-9,20,http://stats.nba.com/cvp.html?GameID=0041200302&GameEventID=19
