a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,7.30,Portland Trail Blazers,shot,,,,,,,,,,Hickson,2,,,made,,Driving Layup,,,14-7,2,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=37,
,,,,,,,,,,1,7.18,New York Knicks,shot,,,,,,,,,,Anthony,3,,,made,,3PT Jump Shot,,,14-10,25,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=38,
,,,,,,,,,,1,6.58,Portland Trail Blazers,shot,Aldridge,,,,,,,,,Batum,3,,,made,,3PT Jump Shot,,,17-10,25,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=39,
,,,,,,,,,,1,6.45,New York Knicks,shot,Kidd,,,,,,,,,Brewer,3,,,made,,3PT Jump Shot,,,17-13,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=40,
,,,,,,,,,,1,6.30,Portland Trail Blazers,shot,,,,,,,,,,Matthews,2,,,made,,Pullup Jump Shot,,,19-13,9,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=41,
,,,,,,,,,,1,6.23,New York Knicks,timeout,,,,,,,,,,,,,,,,,,,19-13,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=42,
,,,,,,,,,,1,6.11,New York Knicks,shot,Chandler,,,,,,,,,Anthony,3,,,made,,3PT Jump Shot,,,19-16,25,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=46,
,,,,,,,,,,1,5.47,Portland Trail Blazers,shot,,,,,,,,,,Matthews,,,,missed,,3PT Jump Shot,,,19-16,25,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=47,
,,,,,,,,,,1,5.45,Portland Trail Blazers,rebound,,,,,,,,,,Aldridge,,,,,,,,,19-16,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=48,
,,,,,,,,,,1,5.42,Portland Trail Blazers,turnover,,,,,,,,,,Aldridge,,,Bad Pass,,,,,,19-16,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=49,
,,,,,,,,,,1,5.39,New York Knicks,shot,Smith,,,,,,,,,Brewer,2,,,made,,Driving Reverse Layup,,,19-18,2,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=50,
,,,,,,,,,,1,5.28,Portland Trail Blazers,shot,,,,,,,,,,Lillard,,,,missed,,3PT Jump Shot,,,19-18,24,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=51,
,,,,,,,,,,1,5.25,Portland Trail Blazers,rebound,,,,,,,,,,Aldridge,,,,,,,,,19-18,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=52,
,,,,,,,,,,1,5.23,Portland Trail Blazers,shot,Batum,,,,,,,,,Hickson,2,,,made,,Jump Shot,,,21-18,13,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=53,
,,,,,,,,,,1,5.06,New York Knicks,shot,,,,,,,,,,Kidd,,,,missed,,3PT Jump Shot,,,21-18,25,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=54,
,,,,,,,,,,1,5.06,New York Knicks,rebound,,,,,,,,,,,,,,,,,,,21-18,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=55,
,,,,,,,,,,1,5.06,Portland Trail Blazers,foul,,,,,,,,,,Hickson,,,,,,Loose ball,,,21-18,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=56,
,,,,,,,,,,1,5.06,Portland Trail Blazers,substitute,,,,Jeffries,,Hickson,,,,,,,,,,,,,21-18,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=57,
,,,,,,,,,,1,5.06,Portland Trail Blazers,substitute,,,,Claver,,Matthews,,,,,,,,,,,,,21-18,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=58,
