a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance 
,,,,,,,,,,1,6.04,Oklahoma City Thunder,foul,,,,,,,,,,Perkins,,,,,,Personal,,,9-8,,
,,,,,,,,,,1,5.59,Dallas Mavericks,turnover,,,,,,,,,,West,,,Out of Bounds Lost Ball,,,,,,9-8,,
,,,,,,,,,,1,5.44,Oklahoma City Thunder,shot,,,,,,,,,,Durant,,,,missed,,Pullup Jump Shot,,,9-8,22,
,,,,,,,,,,1,5.42,Dallas Mavericks,rebound,,,,,,,,,,Haywood,,,,,,,,,9-8,,
,,,,,,,,,,1,5.25,Dallas Mavericks,shot,,,,,,,,,,Nowitzki,2,,,made,,Driving Layup,,,9-10,,
,,,,,,,,,,1,5.04,Oklahoma City Thunder,shot,,,,,,,,,,Westbrook,,,,missed,,Jump Shot,,,9-10,4,
,,,,,,,,,,1,5.03,Dallas Mavericks,rebound,,,,,,,,,,Kidd,,,,,,,,,9-10,,
,,,,,,,,,,1,4.48,Dallas Mavericks,shot,,,,,,,,,,Marion,,,,missed,,Jump Shot,,,9-10,15,
,,,,,,,,,,1,4.47,Oklahoma City Thunder,rebound,,,,,,,,,,Durant,,,,,,,,,9-10,,
,,,,,,,,,,1,4.47,Dallas Mavericks,foul,,,,,,,,,,Marion,,,,,,Personal,,,9-10,,
,,,,,,,,,,1,4.47,Dallas Mavericks,substitute,,,,Carter,,Marion,,,,,,,,,,,,,9-10,,
,,,,,,,,,,1,4.47,Dallas Mavericks,substitute,,,,Odom,,Nowitzki,,,,,,,,,,,,,9-10,,
,,,,,,,,,,1,4.30,Oklahoma City Thunder,shot,,,,,,,,,,Westbrook,,,,missed,,Pullup Jump Shot,,,9-10,17,
,,,,,,,,,,1,4.27,Dallas Mavericks,rebound,,,,,,,,,,Kidd,,,,,,,,,9-10,,
,,,,,,,,,,1,4.21,Dallas Mavericks,turnover,,,,,,,,,,West,,,Lost Ball,,,,,,9-10,,
,,,,,,,,,,1,4.15,Oklahoma City Thunder,shot,Sefolosha,,,,,,,,,Ibaka,2,,,made,,Driving Layup,,,11-10,2,
,,,,,,,,,,1,3.56,Dallas Mavericks,shot,,,,,,,,,,Haywood,,,,missed,,Jump Shot,,,11-10,4,
,,,,,,,,,,1,3.55,Oklahoma City Thunder,rebound,,,,,,,,,,Perkins,,,,,,,,,11-10,,
,,,,,,,,,,1,3.43,Dallas Mavericks,foul,,,,,,,,,,Carter,,,,,,Shooting,,,11-10,,
,,,,,,,,,,1,3.43,Oklahoma City Thunder,free throw,,,,,,,1,,2,Durant,,,foul,missed,,,,,11-10,,
,,,,,,,,,,1,3.43,Oklahoma City Thunder,rebound,,,,,,,,,,,,,,,,,,,11-10,,
,,,,,,,,,,1,3.43,Dallas Mavericks,substitute,,,,Terry,,West,,,,,,,,,,,,,11-10,,
,,,,,,,,,,1,3.43,Oklahoma City Thunder,substitute,,,,Collison,,Perkins,,,,,,,,,,,,,11-10,,
,,,,,,,,,,1,3.43,Oklahoma City Thunder,substitute,,,,Harden,,Sefolosha,,,,,,,,,,,,,11-10,,
,,,,,,,,,,1,3.43,Oklahoma City Thunder,free throw,,,,,,,2,,2,Durant,1,,foul,made,,,,,12-10,,
,,,,,,,,,,1,3.32,Oklahoma City Thunder,foul,,,,,,,,,,Collison,,,,,,Shooting,,,12-10,,
,,,,,,,,,,1,3.32,Dallas Mavericks,free throw,,,,,,,1,,2,Odom,1,,foul,made,,,,,12-11,,
,,,,,,,,,,1,3.32,Dallas Mavericks,substitute,,,,Mahinmi,,Haywood,,,,,,,,,,,,,12-11,,
,,,,,,,,,,1,3.32,Dallas Mavericks,free throw,,,,,,,2,,2,Odom,1,,foul,made,,,,,12-12,,
,,,,,,,,,,1,3.19,Oklahoma City Thunder,shot,,,,,,,,,,Westbrook,,,,missed,,Driving Layup,,,12-12,2,
,,,,,,,,,,1,3.17,Dallas Mavericks,rebound,,,,,,,,,,Mahinmi,,,,,,,,,12-12,,
,,,,,,,,,,1,3.09,Dallas Mavericks,shot,,,,,,,,,,Odom,,,,missed,,Jump Shot,,,12-12,18,
,,,,,,,,,,1,3.08,Dallas Mavericks,rebound,,,,,,,,,,Mahinmi,,,,,,,,,12-12,,
,,,,,,,,,,1,2.58,Oklahoma City Thunder,foul,,,,,,,,,,Harden,,,,,,Personal,,,12-12,,
,,,,,,,,,,1,2.58,Oklahoma City Thunder,timeout,,,,,,,,,,,,,,,,,,,12-12,,
,,,,,,,,,,1,2.58,Oklahoma City Thunder,substitute,,,,Maynor,,Westbrook,,,,,,,,,,,,,12-12,,
,,,,,,,,,,1,2.50,Dallas Mavericks,shot,Kidd,,,,,,,,,Carter,2,,,made,,Pullup Jump Shot,,,12-14,20,
,,,,,,,,,,1,2.33,Oklahoma City Thunder,shot,,,,,,,,,,Durant,,,,missed,,Jump Shot,,,12-14,15,
,,,,,,,,,,1,2.30,Dallas Mavericks,rebound,,,,,,,,,,Carter,,,,,,,,,12-14,,
,,,,,,,,,,1,2.23,Dallas Mavericks,shot,,,,,,,,,,Carter,2,,,made,,Driving Layup,,,12-16,2,
,,,,,,,,,,1,2.08,Oklahoma City Thunder,shot,,,,,,,,,,Durant,,,,missed,,Jump Shot,,,12-16,14,
,,,,,,,,,,1,2.07,Dallas Mavericks,rebound,,,,,,,,,,Mahinmi,,,,,,,,,12-16,,
,,,,,,,,,,1,1.53,Dallas Mavericks,shot,,,,,,,,,,Terry,,,,missed,,Pullup Jump Shot,,,12-16,17,
,,,,,,,,,,1,1.50,Oklahoma City Thunder,rebound,,,,,,,,,,Collison,,,,,,,,,12-16,,
,,,,,,,,,,1,1.45,Dallas Mavericks,foul,,,,,,,,,,Odom,,,,,,Shooting,,,12-16,,
,,,,,,,,,,1,1.45,Oklahoma City Thunder,free throw,,,,,,,1,,2,Harden,1,,foul,made,,,,,13-16,,
,,,,,,,,,,1,1.45,Dallas Mavericks,substitute,,,,Nowitzki,,Kidd,,,,,,,,,,,,,13-16,,
,,,,,,,,,,1,1.45,Oklahoma City Thunder,free throw,,,,,,,2,,2,Harden,1,,foul,made,,,,,14-16,,
,,,,,,,,,,1,1.31,Dallas Mavericks,shot,,,,,,,,,,Odom,2,,,made,,Turnaround Hook Shot,,,14-18,7,
,,,,,,,,,,1,1.15,Oklahoma City Thunder,shot,Collison,,,,,,,,,Ibaka,2,,,made,,Slam Dunk,,,16-18,1,
,,,,,,,,,,1,0.59,Dallas Mavericks,shot,,,,,,,,,,Mahinmi,,,,missed,,Layup,,,16-18,1,
