quarter,time,eventtype,team,outof,numfreeshot,points,reason,result,type,score,shotdistance,x,url,y,asssist,awayjumpball,block,entered,homejumpball,left,opponent,player,steal
2,7:34.0,shot,Washington Wizards,,,2,,missed,Jump Shot,30-38,11,271,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=172,160,,,,,,,,Emeka Okafor,
2,7:31.0,rebound,Washington Wizards,,,,,,Offensive,30-38,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=173,,,,,,,,,Chris Singleton,
2,7:27.0,shot,Washington Wizards,,,3,,missed,3PT Jump Shot,30-38,25,454,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=174,187,,,,,,,,Jordan Crawford,
2,7:26.0,rebound,Washington Wizards,,,,,,Offensive,30-38,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=175,,,,,,,,,Emeka Okafor,
2,7:22.0,shot,Washington Wizards,,,3,,missed,3PT Jump Shot,30-38,24,150,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=176,272,,,,,,,,Jannero Pargo,
2,7:21.0,rebound,Cleveland Cavaliers,,,,,,Defensive,30-38,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=177,,,,,,,,,Luke Walton,
2,7:11.0,shot,Cleveland Cavaliers,,,3,,missed,3PT Jump Shot,30-38,25,73,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=178,228,,,,,,,,Daniel Gibson,
2,7:09.0,rebound,Washington Wizards,,,,,,Defensive,30-38,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=179,,,,,,,,,Martell Webster,
2,6:59.0,shot,Washington Wizards,,,2,,missed,Jump Shot,30-38,16,142,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=180,173,,,,,,,,Chris Singleton,
2,6:58.0,rebound,Cleveland Cavaliers,,,,,,Defensive,30-38,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=181,,,,,,,,,Daniel Gibson,
2,6:44.0,foul,Cleveland Cavaliers,,,,,,Offensive,30-38,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=182,,,,,,,,,,
2,6:44.0,turnover,Cleveland Cavaliers,,,,Foul,,,30-38,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=183,,,,,,,,,Donald Sloan,
2,6:44.0,substitute,Cleveland Cavaliers,,,,,,,30-38,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=184,,,,,Dion Waiters,,C.J. Miles,,,
2,6:44.0,substitute,Cleveland Cavaliers,,,,,,,30-38,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=185,,,,,Tristan Thompson,,Daniel Gibson,,,
2,6:44.0,substitute,Cleveland Cavaliers,,,,,,,30-38,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=186,,,,,Alonzo Gee,,Luke Walton,,,
2,6:34.0,foul,Cleveland Cavaliers,,,,,,Shooting,30-38,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=187,,,,,,,,,Anderson Varejao,
2,6:34.0,free throw,Washington Wizards,2,1,,foul,missed,,30-38,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=188,,,,,,,,,Emeka Okafor,
2,6:34.0,rebound,Washington Wizards,,,,,,Offensive,30-38,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=189,,,,,,,,,,
2,6:34.0,substitute,Washington Wizards,,,,,,,30-38,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=190,,,,,Trevor Booker,,Chris Singleton,,,
2,6:34.0,free throw,Washington Wizards,2,2,1,foul,made,,31-38,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=191,,,,,,,,,Emeka Okafor,
2,6:16.0,shot,Cleveland Cavaliers,,,2,,made,Floating Jump Shot,31-40,10,190,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=193,125,Tristan Thompson,,,,,,,Donald Sloan,
2,6:03.0,foul,Washington Wizards,,,,,,Offensive,31-40,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=194,,,,,,,,,,
2,6:03.0,turnover,Washington Wizards,,,,Foul,,,31-40,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=195,,,,,,,,,Trevor Booker,
2,6:03.0,substitute,Cleveland Cavaliers,,,,,,,31-40,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=196,,,,,Kyrie Irving,,Donald Sloan,,,
2,6:03.0,substitute,Washington Wizards,,,,,,,31-40,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=197,,,,,A.J. Price,,Jannero Pargo,,,
2,5:56.0,shot,Cleveland Cavaliers,,,2,,made,Jump Shot,31-42,19,347,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=198,212,,,,,,,,Kyrie Irving,
2,5:40.0,foul,Washington Wizards,,,,,,Offensive,31-42,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=199,,,,,,,,,,
2,5:40.0,turnover,Washington Wizards,,,,Foul,,,31-42,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=200,,,,,,,,,Trevor Booker,
2,5:40.0,timeout,Cleveland Cavaliers,,,,,,full,31-42,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=201,,,,,,,,,,
2,5:25.0,shot,Cleveland Cavaliers,,,2,,missed,Step Back Jump Shot,31-42,12,366,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=205,80,,,,,,,,Alonzo Gee,
2,5:23.0,rebound,Washington Wizards,,,,,,Defensive,31-42,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=206,,,,,,,,,Emeka Okafor,
2,5:12.0,turnover,Washington Wizards,,,,Bad Pass,,,31-42,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=207,,,,,,,,,Trevor Booker,Alonzo Gee
2,5:07.0,turnover,Cleveland Cavaliers,,,,Bad Pass,,,31-42,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=208,,,,,,,,,Alonzo Gee,Trevor Booker
2,5:00.0,foul,Cleveland Cavaliers,,,,,,Personal,31-42,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=209,,,,,,,,,Kyrie Irving,
2,4:52.0,shot,Washington Wizards,,,2,,missed,Jump Shot,31-42,17,164,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=210,193,,,,,,,,Emeka Okafor,
2,4:51.0,rebound,Cleveland Cavaliers,,,,,,Defensive,31-42,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=211,,,,,,,,,Tristan Thompson,
2,4:40.0,shot,Cleveland Cavaliers,,,2,,made,Layup,31-44,1,242,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=212,42,Tristan Thompson,,,,,,,Anderson Varejao,
2,4:18.0,shot,Washington Wizards,,,2,,missed,Layup,31-44,1,248,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=213,59,,,Kyrie Irving,,,,,Trevor Booker,
2,4:18.0,rebound,Washington Wizards,,,,,,Offensive,31-44,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=214,,,,,,,,,,
2,4:18.0,substitute,Washington Wizards,,,,,,,31-44,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=216,,,,,Trevor Ariza,,Jordan Crawford,,,
2,4:18.0,substitute,Washington Wizards,,,,,,,31-44,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=217,,,,,Bradley Beal,,Martell Webster,,,
2,4:16.0,shot,Washington Wizards,,,2,,missed,Jump Shot,31-44,19,65,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=218,105,,,,,,,,Bradley Beal,
2,4:15.0,rebound,Washington Wizards,,,,,,Offensive,31-44,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=219,,,,,,,,,Trevor Booker,
2,4:13.0,shot,Washington Wizards,,,2,,missed,Jump Hook Shot,31-44,7,202,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=220,106,,,,,,,,Trevor Booker,
2,4:12.0,rebound,Cleveland Cavaliers,,,,,,Defensive,31-44,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=221,,,,,,,,,,
2,4:10.0,turnover,Cleveland Cavaliers,,,,Lost Ball,,,31-44,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=222,,,,,,,,,Kyrie Irving,Trevor Ariza
2,3:51.0,shot,Washington Wizards,,,2,,missed,Driving Layup,31-44,2,237,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=223,61,,,,,,,,Trevor Ariza,
2,3:49.0,rebound,Cleveland Cavaliers,,,,,,Defensive,31-44,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=224,,,,,,,,,Anderson Varejao,
2,3:33.0,shot,Cleveland Cavaliers,,,3,,missed,3PT Jump Shot,31-44,25,104,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=225,256,,,,,,,,Dion Waiters,
2,3:32.0,rebound,Cleveland Cavaliers,,,,,,Offensive,31-44,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=226,,,,,,,,,,
2,3:32.0,foul,Washington Wizards,,,,,,Loose ball,31-44,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=227,,,,,,,,,Trevor Booker,
2,3:32.0,substitute,Washington Wizards,,,,,,,31-44,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=228,,,,,Jan Vesely,,Trevor Booker,,,
2,3:10.0,shot,Cleveland Cavaliers,,,2,,made,Jump Shot,31-46,18,71,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=229,64,Tristan Thompson,,,,,,,Dion Waiters,
2,2:48.0,shot,Washington Wizards,,,2,,made,Jump Shot,33-46,6,229,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=230,108,Trevor Ariza,,,,,,,Emeka Okafor,
2,2:24.0,shot,Cleveland Cavaliers,,,3,,missed,3PT Jump Shot,33-46,24,18,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=231,105,,,,,,,,Alonzo Gee,
2,2:23.0,rebound,Washington Wizards,,,,,,Defensive,33-46,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=232,,,,,,,,,Bradley Beal,
2,2:21.0,foul,Cleveland Cavaliers,,,,,,Personal,33-46,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=233,,,,,,,,,Kyrie Irving,
2,2:21.0,timeout,Washington Wizards,,,,,,full,33-46,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=234,,,,,,,,,,
2,2:21.0,substitute,Cleveland Cavaliers,,,,,,,33-46,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=237,,,,,Donald Sloan,,Kyrie Irving,,,
2,2:21.0,free throw,Washington Wizards,2,1,1,foul,made,,34-46,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=239,,,,,,,,,Bradley Beal,
2,2:21.0,free throw,Washington Wizards,2,2,1,foul,made,,35-46,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=241,,,,,,,,,Bradley Beal,
2,2:07.0,shot,Cleveland Cavaliers,,,2,,missed,Dunk,35-46,1,243,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=244,54,,,Jan Vesely,,,,,Dion Waiters,
2,2:06.0,rebound,Washington Wizards,,,,,,Defensive,35-46,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=245,,,,,,,,,Bradley Beal,
2,2:03.0,shot,Washington Wizards,,,2,,made,Dunk,37-46,,251,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=246,48,Bradley Beal,,,,,,,Trevor Ariza,
2,1:41.0,violation,Washington Wizards,,,,Kicked Ball,,,37-46,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=247,,,,,,,,,Emeka Okafor,
2,1:30.0,shot,Cleveland Cavaliers,,,2,,made,Jump Shot,37-48,5,252,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=248,98,,,,,,,,Donald Sloan,
2,1:05.0,shot,Washington Wizards,,,2,,missed,Jump Shot,37-48,16,90,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=249,80,,,,,,,,Emeka Okafor,
2,1:04.0,rebound,Washington Wizards,,,,,,Offensive,37-48,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=250,,,,,,,,,Trevor Ariza,
2,1:03.0,foul,Cleveland Cavaliers,,,,,,Shooting,37-48,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=252,,,,,,,,,Tristan Thompson,
2,1:03.0,free throw,Washington Wizards,2,1,,foul,missed,,37-48,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=253,,,,,,,,,Trevor Ariza,
2,1:03.0,rebound,Washington Wizards,,,,,,Offensive,37-48,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=254,,,,,,,,,,
2,1:03.0,free throw,Washington Wizards,2,2,1,foul,made,,38-48,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=255,,,,,,,,,Trevor Ariza,
2,0:44.9,turnover,Cleveland Cavaliers,,,,Bad Pass,,,38-48,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=258,,,,,,,,,Donald Sloan,Bradley Beal
2,0:37.9,shot,Washington Wizards,,,2,,missed,Layup,38-48,1,256,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=259,40,,,,,,,,Bradley Beal,
2,0:36.9,rebound,Washington Wizards,,,,,,Offensive,38-48,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=260,,,,,,,,,Jan Vesely,
2,0:35.9,shot,Washington Wizards,,,2,,missed,Layup,38-48,1,252,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=261,40,,,Anderson Varejao,,,,,Jan Vesely,
2,0:35.0,rebound,Cleveland Cavaliers,,,,,,Defensive,38-48,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=262,,,,,,,,,Anderson Varejao,
2,0:33.3,foul,Washington Wizards,,,,,,Shooting,38-48,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=263,,,,,,,,,Emeka Okafor,
2,0:33.3,free throw,Cleveland Cavaliers,2,1,1,foul,made,,38-49,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=264,,,,,,,,,Dion Waiters,
2,0:33.3,free throw,Cleveland Cavaliers,2,2,1,foul,made,,38-50,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=266,,,,,,,,,Dion Waiters,
2,0:20.5,foul,Cleveland Cavaliers,,,,,,Personal,38-50,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=268,,,,,,,,,Alonzo Gee,
2,0:20.5,free throw,Washington Wizards,2,1,,foul,missed,,38-50,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=269,,,,,,,,,Jan Vesely,
2,0:20.5,rebound,Washington Wizards,,,,,,Offensive,38-50,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=270,,,,,,,,,,
2,0:20.5,free throw,Washington Wizards,2,2,1,foul,made,,39-50,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=271,,,,,,,,,Jan Vesely,
3,11:35.0,shot,Cleveland Cavaliers,,,2,,missed,Jump Bank Shot,39-50,10,157,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=276,92,,,,,,,,Kyrie Irving,
3,11:33.0,rebound,Washington Wizards,,,,,,Defensive,39-50,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=277,,,,,,,,,,
3,11:18.0,shot,Washington Wizards,,,2,,made,Layup,41-50,1,248,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=278,57,Bradley Beal,,,,,,,Trevor Booker,
3,11:00.0,shot,Cleveland Cavaliers,,,3,,made,3PT Jump Shot,41-53,25,409,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=279,247,Anderson Varejao,,,,,,,Dion Waiters,
3,10:40.0,shot,Washington Wizards,,,2,,missed,Jump Shot,41-53,17,97,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=280,122,,,,,,,,Trevor Booker,
3,10:39.0,rebound,Cleveland Cavaliers,,,,,,Defensive,41-53,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=281,,,,,,,,,Anderson Varejao,
3,10:17.0,foul,Washington Wizards,,,,,,Shooting,41-53,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=282,,,,,,,,,Trevor Booker,
3,10:17.0,free throw,Cleveland Cavaliers,2,1,,foul,missed,,41-53,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=283,,,,,,,,,Tristan Thompson,
3,10:17.0,rebound,Cleveland Cavaliers,,,,,,Offensive,41-53,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=284,,,,,,,,,,
3,10:17.0,substitute,Washington Wizards,,,,,,,41-53,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=285,,,,,Jan Vesely,,Trevor Booker,,,
3,10:17.0,free throw,Cleveland Cavaliers,2,2,1,foul,made,,41-54,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=286,,,,,,,,,Tristan Thompson,
3,10:01.0,shot,Washington Wizards,,,2,,missed,Jump Shot,41-54,21,76,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=288,160,,,,,,,,Trevor Ariza,
3,10:00.0,rebound,Cleveland Cavaliers,,,,,,Defensive,41-54,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=289,,,,,,,,,,
3,10:00.0,foul,Washington Wizards,,,,,,Loose ball,41-54,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=290,,,,,,,,,Jan Vesely,
3,9:37.0,shot,Cleveland Cavaliers,,,2,,made,Turnaround Jump Shot,41-56,15,104,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=291,72,,,,,,,,Kyrie Irving,
3,9:19.0,shot,Washington Wizards,,,3,,made,3PT Jump Shot,44-56,26,75,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=292,248,Trevor Ariza,,,,,,,A.J. Price,
3,9:19.0,foul,Cleveland Cavaliers,,,,,,Shooting,44-56,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=293,,,,,,,,,Alonzo Gee,
3,9:19.0,free throw,Washington Wizards,1,1,1,foul,made,,45-56,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=294,,,,,,,,,A.J. Price,
3,9:00.0,shot,Cleveland Cavaliers,,,2,,missed,Layup,45-56,1,256,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=296,51,,,,,,,,Dion Waiters,
3,8:58.0,rebound,Cleveland Cavaliers,,,,,,Offensive,45-56,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=297,,,,,,,,,Anderson Varejao,
3,8:55.0,shot,Cleveland Cavaliers,,,3,,made,3PT Jump Shot,45-59,25,218,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=298,297,Anderson Varejao,,,,,,,Kyrie Irving,
3,8:36.0,turnover,Washington Wizards,,,,Lost Ball,,,45-59,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=299,,,,,,,,,Bradley Beal,Dion Waiters
3,8:33.0,shot,Cleveland Cavaliers,,,2,,made,Dunk,45-61,1,256,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=300,62,,,,,,,,Dion Waiters,
3,8:33.0,timeout,Washington Wizards,,,,,,full,45-61,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=301,,,,,,,,,,
3,8:33.0,substitute,Washington Wizards,,,,,,,45-61,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=304,,,,,Jordan Crawford,,Bradley Beal,,,
3,8:16.0,shot,Washington Wizards,,,3,,missed,3PT Jump Shot,45-61,23,19,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=305,67,,,,,,,,Trevor Ariza,
3,8:15.0,rebound,Washington Wizards,,,,,,Offensive,45-61,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=306,,,,,,,,,A.J. Price,
3,8:12.0,shot,Washington Wizards,,,3,,missed,3PT Jump Shot,45-61,25,84,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=307,234,,,,,,,,A.J. Price,
3,8:11.0,rebound,Cleveland Cavaliers,,,,,,Defensive,45-61,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=308,,,,,,,,,Anderson Varejao,
3,7:50.0,shot,Cleveland Cavaliers,,,2,,missed,Jump Shot,45-61,6,218,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=309,103,,,Emeka Okafor,,,,,Anderson Varejao,
3,7:49.0,rebound,Cleveland Cavaliers,,,,,,Offensive,45-61,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=310,,,,,,,,,Anderson Varejao,
3,7:48.0,turnover,Cleveland Cavaliers,,,,Shot Clock,,,45-61,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=311,,,,,,,,,,
3,7:32.0,shot,Washington Wizards,,,2,,missed,Jump Shot,45-61,8,209,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=312,113,,,,,,,,Emeka Okafor,
3,7:30.0,rebound,Washington Wizards,,,,,,Offensive,45-61,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=313,,,,,,,,,Jan Vesely,
3,7:13.0,shot,Washington Wizards,,,3,,missed,3PT Jump Shot,45-61,26,90,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=314,250,,,,,,,,A.J. Price,
3,7:12.0,rebound,Cleveland Cavaliers,,,,,,Defensive,45-61,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=315,,,,,,,,,Tristan Thompson,
3,6:58.0,shot,Cleveland Cavaliers,,,2,,missed,Reverse Layup,45-61,,252,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=316,53,,,Emeka Okafor,,,,,Alonzo Gee,
3,6:57.0,rebound,Cleveland Cavaliers,,,,,,Offensive,45-61,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=317,,,,,,,,,Anderson Varejao,
3,6:54.0,timeout,Cleveland Cavaliers,,,,,,full,45-61,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=319,,,,,,,,,,
3,6:52.0,turnover,Cleveland Cavaliers,,,,Lost Ball,,,45-61,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=323,,,,,,,,,Dion Waiters,Trevor Ariza
3,6:49.0,foul,Cleveland Cavaliers,,,,,,Personal,45-61,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=324,,,,,,,,,Anderson Varejao,
3,6:32.0,shot,Washington Wizards,,,2,,made,Driving Layup,47-61,1,245,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=325,54,Trevor Ariza,,,,,,,Jordan Crawford,
3,6:14.0,shot,Cleveland Cavaliers,,,2,,missed,Step Back Jump Shot,47-61,8,190,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=326,98,,,,,,,,Anderson Varejao,
3,6:12.0,rebound,Washington Wizards,,,,,,Defensive,47-61,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=327,,,,,,,,,Emeka Okafor,
3,5:59.0,shot,Washington Wizards,,,3,,made,3PT Jump Shot,50-61,24,15,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=328,57,Jan Vesely,,,,,,,Trevor Ariza,
3,5:59.0,timeout,Cleveland Cavaliers,,,,,,full,50-61,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=329,,,,,,,,,,
3,5:42.0,shot,Cleveland Cavaliers,,,2,,missed,Jump Shot,50-61,12,289,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=333,166,,,,,,,,Kyrie Irving,
3,5:40.0,rebound,Cleveland Cavaliers,,,,,,Offensive,50-61,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=334,,,,,,,,,Anderson Varejao,
3,5:31.0,shot,Cleveland Cavaliers,,,2,,missed,Layup,50-61,1,250,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=335,40,,,Trevor Ariza,,,,,Tristan Thompson,
3,5:29.0,rebound,Cleveland Cavaliers,,,,,,Offensive,50-61,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=336,,,,,,,,,Anderson Varejao,
3,5:23.0,shot,Cleveland Cavaliers,,,2,,made,Jump Shot,50-63,6,295,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=337,95,Anderson Varejao,,,,,,,Kyrie Irving,
3,5:10.0,shot,Washington Wizards,,,3,,missed,3PT Jump Shot,50-63,25,49,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=338,204,,,,,,,,A.J. Price,
3,5:09.0,rebound,Cleveland Cavaliers,,,,,,Defensive,50-63,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=339,,,,,,,,,Anderson Varejao,
3,4:59.0,shot,Cleveland Cavaliers,,,3,,missed,3PT Jump Shot,50-63,25,446,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=340,204,,,,,,,,Kyrie Irving,
3,4:58.0,rebound,Washington Wizards,,,,,,Defensive,50-63,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=341,,,,,,,,,Jordan Crawford,
3,4:53.0,shot,Washington Wizards,,,2,,made,Layup,52-63,1,257,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=342,39,A.J. Price,,,,,,,Emeka Okafor,
3,4:34.0,shot,Cleveland Cavaliers,,,3,,missed,3PT Jump Shot,52-63,25,188,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=343,289,,,,,,,,Dion Waiters,
3,4:33.0,rebound,Cleveland Cavaliers,,,,,,Offensive,52-63,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=344,,,,,,,,,Anderson Varejao,
3,4:15.0,shot,Cleveland Cavaliers,,,2,,missed,Layup,52-63,2,240,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=345,64,,,Emeka Okafor,,,,,Dion Waiters,
3,4:15.0,rebound,Cleveland Cavaliers,,,,,,Offensive,52-63,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=346,,,,,,,,,,
3,4:15.0,substitute,Cleveland Cavaliers,,,,,,,52-63,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=348,,,,,Tyler Zeller,,Tristan Thompson,,,
3,4:15.0,substitute,Cleveland Cavaliers,,,,,,,52-63,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=349,,,,,C.J. Miles,,Dion Waiters,,,
3,4:15.0,substitute,Washington Wizards,,,,,,,52-63,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=350,,,,,Earl Barron,,Emeka Okafor,,,
3,4:15.0,substitute,Washington Wizards,,,,,,,52-63,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=351,,,,,Jannero Pargo,,A.J. Price,,,
3,4:12.0,turnover,Cleveland Cavaliers,,,,Palming,,,52-63,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=352,,,,,,,,,Kyrie Irving,
3,3:52.0,shot,Washington Wizards,,,3,,missed,3PT Jump Shot,52-63,26,71,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=353,236,,,,,,,,Jannero Pargo,
3,3:51.0,rebound,Cleveland Cavaliers,,,,,,Defensive,52-63,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=354,,,,,,,,,Anderson Varejao,
