" quarter","min","sec"," team"," eventtype","assist_0","assist_1","awayjumpball_0","awayjumpball_1","block_0","block_1","entered_0","entered_1","homejumpball_0","homejumpball_1","left_0","left_1"," numfreeshot","opponent_0","opponent_1"," outof","player_0","player_1"," points"," reason"," result"," type"," score"," shotdistance"," x"," y","split_0","split_1"
"2","8","46.0","Los Angeles Lakers","timeout","","","","","","","","","","","","","","","","","","","","","","short","32-35","","","","",""
"4","8","50.0","Los Angeles Lakers","timeout","","","","","","","","","","","","","","","","","","","","","","short","86-73","","","","",""
"4","3","17.0","Los Angeles Lakers","rebound","","","","","","","","","","","","","","","","","","","","","","Offensive","95-82","","","","",""
"4","3","17.0","Los Angeles Lakers","rebound","","","","","","","","","","","","","","","","","Dwight","Howard","","","","Offensive","95-82","","","","",""
