" quarter","min","sec"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," score"," shotdistance"," url "
"4","3","17","Los Angeles Lakers","rebound","","","","","","","","","","Howard","","","","","","","95-82","","http://stats.nba.com/cvp.html?GameID=0021200003&GameEventID=491"
"4","3","17","Los Angeles Lakers","rebound","","","","","","","","","","","","","","","","","95-82","","http://stats.nba.com/cvp.html?GameID=0021200003&GameEventID=494"
