" quarter","min","sec"," team"," eventtype","assist_0","assist_1","awayjumpball_0","awayjumpball_1","block_0","block_1","entered_0","entered_1","homejumpball_0","homejumpball_1","left_0","left_1"," numfreeshot","opponent_0","opponent_1"," outof","player_0","player_1"," points"," reason"," result"," type"," score"," shotdistance"," x"," y","split_0","split_1"
"2","11","08.0","Houston Rockets","foul","","","","","","","","","","","","","","","","","Andre","Drummond","","","","Def 3 sec tech","27-24","","","","",""
"2","8","31.0","Houston Rockets","timeout","","","","","","","","","","","","","","","","","","","","","","short","36-31","","","","",""
"2","0","58.6","Detroit Pistons","timeout","","","","","","","","","","","","","","","","","","","","","","short","55-56","","","","",""
"3","2","37.0","Houston Rockets","rebound","","","","","","","","","","","","","","","","","Omer","Asik","","","","Offensive","69-77","","","","",""
"3","2","37.0","Houston Rockets","rebound","","","","","","","","","","","","","","","","","Omer","Asik","","","","Offensive","69-77","","","","",""
"3","2","37.0","Houston Rockets","rebound","","","","","","","","","","","","","","","","","","","","","","Offensive","69-77","","","","",""
"4","8","44.0","Detroit Pistons","timeout","","","","","","","","","","","","","","","","","","","","","","short","80-85","","","","",""
"1","2","01.0","Detroit Pistons","timeout","","","","","","","","","","","","","","","","","","","","","","full","25-17","","","","",""
