" quarter@br","min@br","sec@br"," eventtype@br"," team@br"," outof@br"," numfreeshot@br"," points@br"," reason@br"," result@br"," type@br"," score@br"," shotdistance@br"," x@br"," y@br","assist_0@br","assist_1@br","awayjumpball_0@br","awayjumpball_1@br","block_0@br","block_1@br","entered_0@br","entered_1@br","homejumpball_0@br","homejumpball_1@br","left_0@br","left_1@br","opponent_0@br","opponent_1@br","player_0@br","player_1@br","split_0@br","split_1@br"," quarter@NBA","min@NBA","sec@NBA"," eventtype@NBA"," team@NBA"," outof@NBA"," numfreeshot@NBA"," points@NBA"," reason@NBA"," result@NBA"," type@NBA"," score@NBA"," shotdistance@NBA"," url @NBA"," assist@NBA"," awayjumpball@NBA"," block@NBA"," entered@NBA"," homejumpball@NBA"," left@NBA"," opponent@NBA"," player@NBA"," steal@NBA","Confidence"
"1","9","37.0","rebound","Cleveland Cavaliers","","","","","","Offensive","6-5","","","","","","","","","","","","","","","","","","Anderson","Varejao","","","1","9","37","rebound","Cleveland Cavaliers","","","","","","","6-5","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=21","","","","","","","","Varejao","","80"
"1","9","33.0","shot","Cleveland Cavaliers","","","2","","made","layup","6-7","","254","50","Anderson","Varejao","","","","","","","","","","","","","Kyrie","Irving","","","1","9","33","shot","Cleveland Cavaliers","","","2","","made","Layup","6-7","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=22","Varejao","","","","","","","Irving","","84"
"1","9","23.0","shot","Washington Wizards","","","2","","missed","layup","6-7","1","260","59","","","","","","","","","","","","","","","Trevor","Booker","","","1","9","23","shot","Washington Wizards","","","","","missed","Layup","6-7","1","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=23","","","","","","","","Booker","","82"
"1","9","22.0","rebound","Washington Wizards","","","","","","Offensive","6-7","","","","","","","","","","","","","","","","","","Emeka","Okafor","","","1","9","22","rebound","Washington Wizards","","","","","","","6-7","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=25","","","","","","","","Okafor","","80"
"1","9","22.0","shot","Washington Wizards","","","2","","missed","tip shot","6-7","2","263","37","","","","","","","","","","","","","","","Emeka","Okafor","","","1","9","22","shot","Washington Wizards","","","","","missed","Tip Shot","6-7","2","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=24","","","","","","","","Okafor","","80"
"1","9","21.0","rebound","Washington Wizards","","","","","","Offensive","6-7","","","","","","","","","","","","","","","","","","Emeka","Okafor","","","1","9","21","rebound","Washington Wizards","","","","","","","6-7","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=26","","","","","","","","Okafor","","80"
"1","9","20.0","shot","Washington Wizards","","","2","","missed","layup","6-7","1","257","48","","","","","","","","","","","","","","","Emeka","Okafor","","","1","9","20","shot","Washington Wizards","","","","","missed","Layup","6-7","1","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=27","","","","","","","","Okafor","","82"
"1","9","20.0","rebound","Cleveland Cavaliers","","","","","","Defensive","6-7","","","","","","","","","","","","","","","","","","","","","","1","9","20","rebound","Cleveland Cavaliers","","","","","","","6-7","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=28","","","","","","","","","","78"
"1","9","08.0","shot","Cleveland Cavaliers","","","2","","made","driving layup","6-9","1","242","62","","","","","","","","","","","","","","","Dion","Waiters","","","1","9","08","shot","Cleveland Cavaliers","","","2","","made","Driving Layup","6-9","1","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=29","","","","","","","","Waiters","","82"
"1","8","58.0","shot","Washington Wizards","","","2","","missed","jumper","6-9","21","106","203","","","","","","","","","","","","","","","Bradley","Beal","","","1","8","58","shot","Washington Wizards","","","","","missed","Jump Shot","6-9","21","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=30","","","","","","","","Beal","","80"
"1","8","57.0","rebound","Cleveland Cavaliers","","","","","","Defensive","6-9","","","","","","","","","","","","","","","","","","Anderson","Varejao","","","1","8","57","rebound","Cleveland Cavaliers","","","","","","","6-9","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=31","","","","","","","","Varejao","","80"
"1","8","53.0","turnover","Cleveland Cavaliers","","","","bad pass","","","6-9","","","","","","","","","","","","","","","","","","Kyrie","Irving","","","1","8","53","turnover","Cleveland Cavaliers","","","","Bad Pass","","","6-9","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=32","","","","","","","","Irving","","80"
"1","8","30.0","shot","Washington Wizards","","","2","","made","jumper","8-9","15","391","105","A.J.","Price","","","","","","","","","","","","","Emeka","Okafor","","","1","8","30","shot","Washington Wizards","","","2","","made","Jump Shot","8-9","15","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=34","Price","","","","","","","Okafor","","84"
"1","8","16.0","shot","Cleveland Cavaliers","","","2","","missed","layup","8-9","1","262","53","","","","","Trevor","Booker","","","","","","","","","Tristan","Thompson","","","1","8","16","shot","Cleveland Cavaliers","","","","","missed","Layup","8-9","1","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=36","","","Booker","","","","","Thompson","","84"
"1","8","14.0","rebound","Cleveland Cavaliers","","","","","","Offensive","8-11","","","","","","","","","","","","","","","","","","Anderson","Varejao","","","1","8","14","rebound","Cleveland Cavaliers","","","","","","","8-9","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=38","","","","","","","","Varejao","","80"
"1","8","14.0","shot","Cleveland Cavaliers","","","2","","made","layup","8-11","1","250","62","","","","","","","","","","","","","","","Anderson","Varejao","","","1","8","14","shot","Cleveland Cavaliers","","","2","","made","Layup","8-11","1","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=37","","","","","","","","Varejao","","84"
"1","8","01.0","turnover","Washington Wizards","","","","lost ball","","","8-11","","","","","","","","","","","","","","","","","","Trevor","Booker","Dion","Waiters","1","8","01","turnover","Washington Wizards","","","","Lost Ball","","","8-11","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=39","","","","","","","","Booker","Waiters","82"
"1","7","55.0","shot","Cleveland Cavaliers","","","2","","missed","layup","8-11","1","256","61","","","","","","","","","","","","","","","Dion","Waiters","","","1","7","55","shot","Cleveland Cavaliers","","","","","missed","Layup","8-11","1","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=40","","","","","","","","Waiters","","82"
"1","7","52.0","rebound","Cleveland Cavaliers","","","","","","Offensive","8-13","","","","","","","","","","","","","","","","","","Alonzo","Gee","","","1","7","52","rebound","Cleveland Cavaliers","","","","","","","8-11","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=42","","","","","","","","Gee","","80"
