" quarter","min","sec"," team"," eventtype","assist_0","assist_1","awayjumpball_0","awayjumpball_1","block_0","block_1","entered_0","entered_1","homejumpball_0","homejumpball_1","left_0","left_1"," numfreeshot","opponent_0","opponent_1"," outof","player_0","player_1"," points"," reason"," result"," type"," score"," shotdistance"," x"," y","split_0","split_1"
"2","8","53.0","Washington Wizards","timeout","","","","","","","","","","","","","","","","","","","","","","short","26-36","","","","",""
"4","2","15.0","Washington Wizards","timeout","","","","","","","","","","","","","","","","","","","","","","short","82-86","","","","",""
"4","0","39.0","Cleveland Cavaliers","rebound","","","","","","","","","","","","","","","","","","","","","","Offensive","84-92","","","","",""
"4","0","18.1","Cleveland Cavaliers","foul","","","","","","","","","","","","","","Dion","Waiters","","Bradley","Beal","","","","Shooting","84-93","","","","",""
