"href","period","score","team","text","time"
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=45,1,,Washington Wizards,MISS Ariza 19' Jump Shot,7:08
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=46,1,,Cleveland Cavaliers,Thompson REBOUND (Off:0 Def:2),7:07
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=47,1,,Cleveland Cavaliers,MISS Irving 15' Jump Shot,6:58
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=47,1,,Washington Wizards,Ariza BLOCK (1 BLK),6:58
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=48,1,,Cleveland Cavaliers,Varejao REBOUND (Off:4 Def:1),6:55
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=49,1,[ 11 - 15 ],Cleveland Cavaliers,Irving 1' Layup (7 PTS) (Varejao 2 AST),6:54
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=50,1,,Cleveland Cavaliers,Varejao BLOCK (1 BLK),6:40
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=50,1,,Washington Wizards,MISS Price 4' Jump Shot,6:40
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=51,1,,Cleveland Cavaliers,Thompson REBOUND (Off:0 Def:3),6:37
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=52,1,,Cleveland Cavaliers,MISS Waiters  Layup,6:31
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=54,1,,Cleveland Cavaliers,Thompson REBOUND (Off:1 Def:3),6:29
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=53,1,,Cleveland Cavaliers,MISS Thompson 1' Tip Shot,6:29
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=55,1,,Washington Wizards,Beal REBOUND (Off:0 Def:1),6:25
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=56,1,[ 14 - 15 ],Washington Wizards,Price 24' 3PT Jump Shot (3 PTS) (Beal 1 AST),6:21
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=57,1,,Cleveland Cavaliers,MISS Gee 19' Jump Shot,6:01
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=58,1,,Washington Wizards,Price REBOUND (Off:0 Def:1),6:00
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=59,1,[ 17 - 15 ],Washington Wizards,Beal 25' 3PT Jump Shot (6 PTS) (Price 4 AST),5:54
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=60,1,,Cleveland Cavaliers,CAVALIERS Timeout: Regular (Full 1 Short 0),5:49
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=62,1,,Cleveland Cavaliers,SUB: Miles FOR Varejao,5:49
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=63,1,,Cleveland Cavaliers,SUB: Zeller FOR Waiters,5:49
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=65,1,,Cleveland Cavaliers,MISS Miles 1' Layup,5:35
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=66,1,,Cleveland Cavaliers,Thompson REBOUND (Off:2 Def:3),5:34
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=67,1,[ 17 - 17 ],Cleveland Cavaliers,Thompson 1' Layup (2 PTS),5:32
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=68,1,,Washington Wizards,MISS Price 27' 3PT Jump Shot,5:09
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=69,1,,Washington Wizards,Wizards Rebound,5:07
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=71,1,,Washington Wizards,MISS Beal 22' Jump Shot,5:01
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=72,1,,Cleveland Cavaliers,Miles REBOUND (Off:0 Def:1),5:00
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=73,1,,Cleveland Cavaliers,MISS Irving 17' Jump Shot,4:52
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=74,1,,Washington Wizards,Ariza REBOUND (Off:0 Def:2),4:51
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=75,1,,Cleveland Cavaliers,Zeller P.FOUL (P1.T2),4:35
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=77,1,,Washington Wizards,MISS Booker 7' Hook Shot,4:22
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=78,1,,Washington Wizards,Okafor REBOUND (Off:4 Def:0),4:19
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=79,1,,Cleveland Cavaliers,Gee STEAL (1 STL),4:17
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=79,1,,Washington Wizards,Okafor Lost Ball Turnover (P1.T3),4:17
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=80,1,,Cleveland Cavaliers,Thompson 3 Second Violation Turnover (P1.T3),4:11
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=81,1,,Cleveland Cavaliers,Thompson STEAL (1 STL),3:48
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=81,1,,Washington Wizards,Price Lost Ball Turnover (P1.T4),3:48
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=82,1,[ 17 - 19 ],Cleveland Cavaliers,Thompson 1' Dunk (4 PTS),3:41
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=83,1,,Cleveland Cavaliers,Gee P.FOUL (P1.T3),3:31
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=84,1,,Washington Wizards,SUB: Vesely FOR Okafor,3:31
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=85,1,,Cleveland Cavaliers,SUB: Gibson FOR Gee,3:31
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=86,1,,Washington Wizards,MISS Booker 10' Jump Shot,3:16
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=87,1,,Cleveland Cavaliers,Zeller REBOUND (Off:0 Def:1),3:15
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=88,1,[ 17 - 22 ],Cleveland Cavaliers,Irving 25' 3PT Jump Shot (10 PTS) (Gibson 1 AST),3:09
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=89,1,,Washington Wizards,MISS Price 24' 3PT Jump Shot,2:56
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=90,1,,Cleveland Cavaliers,Irving REBOUND (Off:0 Def:1),2:55
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=91,1,,Cleveland Cavaliers,MISS Irving 24' 3PT Jump Shot,2:34
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=92,1,,Washington Wizards,Wizards Rebound,2:32
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=93,1,,Washington Wizards,Wizards Timeout: Regular (Reg.1 Short 0),2:32
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=95,1,,Cleveland Cavaliers,SUB: Walton FOR Thompson,2:32
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=96,1,,Washington Wizards,SUB: Webster FOR Ariza,2:32
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=97,1,,Washington Wizards,SUB: Crawford FOR Beal,2:32
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=98,1,[ 19 - 22 ],Washington Wizards,Vesely 1' Alley Oop Dunk (2 PTS) (Price 5 AST),2:19
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=99,1,,Cleveland Cavaliers,MISS Miles 1' Driving Layup,2:06
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=100,1,,Washington Wizards,Vesely REBOUND (Off:0 Def:1),2:05
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=101,1,,Washington Wizards,MISS Webster  3PT Jump Shot,1:54
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=102,1,,Washington Wizards,Vesely REBOUND (Off:1 Def:1),1:53
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=103,1,[ 22 - 22 ],Washington Wizards,Webster  3PT Jump Shot (3 PTS) (Booker 1 AST),1:47
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=104,1,[ 22 - 24 ],Cleveland Cavaliers,Miles 20' Jump Shot (2 PTS),1:28
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=105,1,[ 24 - 24 ],Washington Wizards,Booker 11' Jump Shot (2 PTS),1:14
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=106,1,[ 24 - 27 ],Cleveland Cavaliers,Gibson 26' 3PT Jump Shot (3 PTS) (Irving 1 AST),1:07
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=107,1,,Washington Wizards,MISS Crawford 13' Jump Shot,0:53
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=108,1,,Cleveland Cavaliers,Miles REBOUND (Off:0 Def:2),0:52
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=110,1,[ 24 - 29 ],Cleveland Cavaliers,Walton 19' Jump Shot (2 PTS) (Irving 2 AST),0:41
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=111,1,,Washington Wizards,MISS Crawford 24' 3PT Jump Shot,0:20
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=112,1,,Cleveland Cavaliers,Irving REBOUND (Off:0 Def:2),0:19
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=113,1,,Washington Wizards,Price S.FOUL (P1.T1),0:09
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=114,1,[ 24 - 30 ],Cleveland Cavaliers,Irving Free Throw 1 of 2 (11 PTS),0:09
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=116,1,[ 24 - 31 ],Cleveland Cavaliers,Irving Free Throw 2 of 2 (12 PTS),0:09
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=118,1,,Cleveland Cavaliers,Irving Personal Take Foul (P1.T4),0:03
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=119,1,,Washington Wizards,MISS Booker 26' 3PT Jump Shot,0:00
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=120,1,,Cleveland Cavaliers,Miles REBOUND (Off:0 Def:3),0:00
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=124,2,,Washington Wizards,Pargo S.FOUL (P1.T1),11:42
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=125,2,,Cleveland Cavaliers,MISS Gibson Free Throw 1 of 2,11:42
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=126,2,,Cleveland Cavaliers,CAVALIERS Rebound,11:42
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=127,2,[ 24 - 32 ],Cleveland Cavaliers,Gibson Free Throw 2 of 2 (4 PTS),11:42
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=129,2,[ 26 - 32 ],Washington Wizards,Webster 21' Jump Shot (5 PTS) (Crawford 1 AST),11:24
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=130,2,,Cleveland Cavaliers,Miles Bad Pass Turnover (P1.T4),11:06
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=130,2,,Washington Wizards,Webster STEAL (1 STL),11:06
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=131,2,,Cleveland Cavaliers,Zeller STEAL (1 STL),10:54
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=131,2,,Washington Wizards,Vesely Lost Ball Turnover (P1.T5),10:54
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=132,2,,Cleveland Cavaliers,MISS Sloan 1' Layup,10:47
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=133,2,,Cleveland Cavaliers,Gibson REBOUND (Off:1 Def:0),10:46
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=134,2,,Washington Wizards,Webster S.FOUL (P1.T2),10:39
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=135,2,,Cleveland Cavaliers,MISS Zeller Free Throw 1 of 2,10:39
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=136,2,,Cleveland Cavaliers,CAVALIERS Rebound,10:39
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=137,2,[ 26 - 33 ],Cleveland Cavaliers,Zeller Free Throw 2 of 2 (1 PTS),10:39
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=139,2,,Washington Wizards,MISS Singleton 22' Jump Shot,10:17
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=140,2,,Cleveland Cavaliers,Zeller REBOUND (Off:0 Def:2),10:15
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=141,2,[ 26 - 35 ],Cleveland Cavaliers,Gibson 22' Jump Shot (6 PTS) (Sloan 1 AST),10:03
