"href","period","score","team","text","time"
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=47,1,,Washington Wizards,MISS Beal 14' Jump Shot,7:49
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=48,1,,Washington Wizards,Okafor REBOUND (Off:2 Def:1),7:48
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=49,1,[ 4 - 10 ],Washington Wizards,Beal 24' 3PT Jump Shot (6 PTS) (Temple 1 AST),7:42
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=50,1,,Dallas Mavericks,Mavericks Timeout: Regular (Reg.1 Short 0),7:40
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=52,1,,Dallas Mavericks,MISS Mayo 14' Jump Shot,7:30
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=53,1,,Dallas Mavericks,Carter REBOUND (Off:1 Def:0),7:29
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=54,1,[ 6 - 10 ],Dallas Mavericks,Carter 2' Putback Dunk (6 PTS),7:26
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=55,1,,Washington Wizards,MISS Nene 4' Jump Shot,7:09
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=55,1,,Dallas Mavericks,Kaman BLOCK (3 BLK),7:09
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=56,1,,Washington Wizards,Beal REBOUND (Off:2 Def:1),7:07
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=57,1,[ 6 - 13 ],Washington Wizards,Beal 26' 3PT Jump Shot (9 PTS),7:02
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=58,1,,Washington Wizards,Temple S.FOUL (P1.T2),6:57
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=59,1,[ 7 - 13 ],Dallas Mavericks,Collison Free Throw 1 of 2 (1 PTS),6:57
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=61,1,,Washington Wizards,SUB: Vesely FOR Nene,6:57
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=62,1,[ 8 - 13 ],Dallas Mavericks,Collison Free Throw 2 of 2 (2 PTS),6:57
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=65,1,[ 8 - 15 ],Washington Wizards,Okafor 1' Layup (4 PTS) (Beal 1 AST),6:41
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=66,1,,Dallas Mavericks,MISS Collison 15' Jump Shot,6:22
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=67,1,,Washington Wizards,Beal REBOUND (Off:2 Def:2),6:21
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=68,1,,Washington Wizards,MISS Okafor 17' Jump Shot,6:09
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=69,1,,Washington Wizards,Okafor REBOUND (Off:3 Def:1),6:08
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=70,1,,Washington Wizards,MISS Okafor 17' Jump Shot,5:57
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=71,1,,Dallas Mavericks,Kaman REBOUND (Off:0 Def:2),5:56
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=72,1,[ 10 - 15 ],Dallas Mavericks,Kaman 2' Layup (2 PTS) (Mayo 1 AST),5:44
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=73,1,,Washington Wizards,MISS Okafor 6' Jump Shot,5:28
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=74,1,,Washington Wizards,Webster REBOUND (Off:2 Def:1),5:27
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=75,1,[ 10 - 17 ],Washington Wizards,Webster 1' Putback Layup (4 PTS),5:24
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=76,1,,Dallas Mavericks,MISS Kaman 16' Jump Shot,5:07
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=77,1,,Washington Wizards,Temple REBOUND (Off:1 Def:2),5:06
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=78,1,[ 10 - 19 ],Washington Wizards,Webster 20' Pullup Jump Shot (6 PTS),4:57
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=79,1,,Dallas Mavericks,Mavericks Timeout: Short (Reg.1 Short 1),4:56
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=80,1,,Washington Wizards,SUB: Seraphin FOR Okafor,4:56
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=81,1,,Dallas Mavericks,SUB: Crowder FOR Carter,4:56
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=83,1,,Dallas Mavericks,SUB: Nowitzki FOR Kaman,4:56
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=84,1,,Dallas Mavericks,SUB: Brand FOR Mayo,4:56
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=85,1,,Dallas Mavericks,SUB: Mayo FOR Marion,4:56
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=87,1,[ 12 - 19 ],Dallas Mavericks,Nowitzki 18' Fadeaway Jumper (2 PTS) (Mayo 2 AST),4:40
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=88,1,,Washington Wizards,MISS Temple  3PT Jump Shot,4:21
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=89,1,,Washington Wizards,WIZARDS Rebound,4:20
