" quarter@br","min@br","sec@br"," eventtype@br"," team@br"," outof@br"," numfreeshot@br"," points@br"," reason@br"," result@br"," type@br"," score@br"," shotdistance@br"," x@br"," y@br","assist_0@br","assist_1@br","awayjumpball_0@br","awayjumpball_1@br","block_0@br","block_1@br","entered_0@br","entered_1@br","homejumpball_0@br","homejumpball_1@br","left_0@br","left_1@br","opponent_0@br","opponent_1@br","player_0@br","player_1@br","split_0@br","split_1@br"," quarter@NBA","min@NBA","sec@NBA"," eventtype@NBA"," team@NBA"," outof@NBA"," numfreeshot@NBA"," points@NBA"," reason@NBA"," result@NBA"," type@NBA"," score@NBA"," shotdistance@NBA"," url @NBA"," assist@NBA"," awayjumpball@NBA"," block@NBA"," entered@NBA"," homejumpball@NBA"," left@NBA"," opponent@NBA"," player@NBA"," steal@NBA","Confidence"
"1","9","07.0","shot","Chicago Bulls","","","2","","made","jumper","6-6","12","136","75","","","","","","","","","","","","","","","Carlos","Boozer","","","1","9","07","shot","Chicago Bulls","","","2","","made","Jump Shot","6-6","12","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=20","","","","","","","","Boozer","","82"
"1","9","00.0","timeout","Sacramento Kings","","","","","","short","6-6","","","","","","","","","","","","","","","","","","","","","","1","9","00","timeout","Sacramento Kings","","","","","","","6-6","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=21","","","","","","","","","","78"
"1","8","49.0","turnover","Sacramento Kings","","","","3 sec","","","6-6","","","","","","","","","","","","","","","","","","DeMarcus","Cousins","","","1","8","49","turnover","Sacramento Kings","","","","3 Second Violation","","","6-6","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=22","","","","","","","","Cousins","","80"
"1","8","37.0","shot","Chicago Bulls","","","2","","made","shot","6-8","19","59","40","Joakim","Noah","","","","","","","","","","","","","Kirk","Hinrich","","","1","8","37","shot","Chicago Bulls","","","2","","made","Pullup Jump Shot","6-8","19","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=23","Noah","","","","","","","Hinrich","","84"
"1","8","24.0","turnover","Sacramento Kings","","","","bad pass","","","6-8","","","","","","","","","","","","","","","","","","James","Johnson","Joakim","Noah","1","8","24","turnover","Sacramento Kings","","","","Bad Pass","","","6-8","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=25","","","","","","","","Johnson","Noah","82"
"1","8","18.0","shot","Chicago Bulls","","","2","","made","shot","6-10","19","59","36","Kirk","Hinrich","","","","","","","","","","","","","Richard","Hamilton","","","1","8","18","shot","Chicago Bulls","","","2","","made","Running Jump Shot","6-10","19","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=26","Hinrich","","","","","","","Hamilton","","84"
"1","8","01.0","shot","Sacramento Kings","","","3","","made","jumper","9-10","26","327","294","Jason","Thompson","","","","","","","","","","","","","Tyreke","Evans","","","1","8","01","shot","Sacramento Kings","","","3","","made","3PT Jump Shot","9-10","26","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=27","Thompson","","","","","","","Evans","","84"
"1","7","42.0","turnover","Chicago Bulls","","","","traveling","","","9-10","","","","","","","","","","","","","","","","","","Luol","Deng","","","1","7","42","turnover","Chicago Bulls","","","","Traveling","","","9-10","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=30","","","","","","","","Deng","","82"
"1","7","23.0","shot","Sacramento Kings","","","2","","missed","jumper","9-10","10","344","64","","","","","","","","","","","","","","","Isaiah","Thomas","","","1","7","23","shot","Sacramento Kings","","","","","missed","Jump Shot","9-10","10","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=31","","","","","","","","Thomas","","80"
"1","7","22.0","rebound","Chicago Bulls","","","","","","Defensive","9-10","","","","","","","","","","","","","","","","","","Joakim","Noah","","","1","7","22","rebound","Chicago Bulls","","","","","","","9-10","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=32","","","","","","","","Noah","","80"
"1","7","14.0","shot","Chicago Bulls","","","2","","made","jumper","9-12","20","445","40","Kirk","Hinrich","","","","","","","","","","","","","Richard","Hamilton","","","1","7","14","shot","Chicago Bulls","","","2","","made","Jump Shot","9-12","20","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=33","Hinrich","","","","","","","Hamilton","","84"
"1","7","11.0","violation","Chicago Bulls","","","","delay of game","","","9-12","","","","","","","","","","","","","","","","","","","","","","1","7","11","violation","Chicago Bulls","","","","Delay of game Violation","","","9-12","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=34","","","","","","","","BULLS","","78"
"1","6","58.0","shot","Sacramento Kings","","","2","","missed","jumper","9-12","21","87","185","","","","","","","","","","","","","","","DeMarcus","Cousins","","","1","6","58","shot","Sacramento Kings","","","","","missed","Jump Shot","9-12","21","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=35","","","","","","","","Cousins","","80"
"1","6","57.0","rebound","Chicago Bulls","","","","","","Defensive","9-12","","","","","","","","","","","","","","","","","","Carlos","Boozer","","","1","6","57","rebound","Chicago Bulls","","","","","","","9-12","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=36","","","","","","","","Boozer","","80"
"1","6","54.0","turnover","Chicago Bulls","","","","bad pass","","","9-12","","","","","","","","","","","","","","","","","","Kirk","Hinrich","James","Johnson","1","6","54","turnover","Chicago Bulls","","","","Bad Pass","","","9-12","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=37","","","","","","","","Hinrich","Johnson","82"
"1","6","50.0","turnover","Sacramento Kings","","","","discontinued dribble","","","9-12","","","","","","","","","","","","","","","","","","James","Johnson","","","1","6","50","turnover","Sacramento Kings","","","","Discontinue Dribble","","","9-12","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=38","","","","","","","","Johnson","","81"
"1","6","39.0","foul","Chicago Bulls","","","","","","Offensive","9-12","","","","","","","","","","","","","","","","Tyreke","Evans","Richard","Hamilton","","","1","6","39","foul","Chicago Bulls","","","","","","","9-12","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=39","","","","","","","","","","78"
"1","6","39.0","turnover","Chicago Bulls","","","","offensive foul","","","9-12","","","","","","","","","","","","","","","","","","Richard","Hamilton","","","1","6","39","turnover","Chicago Bulls","","","","Foul","","","9-12","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=40","","","","","","","","Hamilton","","80"
"1","6","27.0","shot","Sacramento Kings","","","2","","made","layup","11-12","3","226","64","","","","","","","","","","","","","","","Tyreke","Evans","","","1","6","27","shot","Sacramento Kings","","","2","","made","Layup","11-12","3","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=42","","","","","","","","Evans","","84"
"1","6","02.0","shot","Chicago Bulls","","","3","","missed","jumper","11-12","25","415","233","","","","","","","","","","","","","","","Richard","Hamilton","","","1","6","02","shot","Chicago Bulls","","","","","missed","3PT Jump Shot","11-12","25","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=45","","","","","","","","Hamilton","","80"
"1","6","01.0","rebound","Chicago Bulls","","","","","","Offensive","11-14","","","","","","","","","","","","","","","","","","Joakim","Noah","","","1","6","01","rebound","Chicago Bulls","","","","","","","11-12","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=47","","","","","","","","Noah","","80"
"1","6","01.0","shot","Chicago Bulls","","","2","","made","shot","11-14","1","237","53","","","","","","","","","","","","","","","Joakim","Noah","","","1","6","01","shot","Chicago Bulls","","","2","","made","Tip Shot","11-14","1","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=46","","","","","","","","Noah","","82"
"1","5","42.0","shot","Sacramento Kings","","","2","","made","shot","13-14","1","256","48","","","","","","","","","","","","","","","DeMarcus","Cousins","","","1","5","42","shot","Sacramento Kings","","","2","","made","Running Dunk","13-14","1","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=48","","","","","","","","Cousins","","82"
