" quarter","min","sec"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," score"," shotdistance"," url "
"2","11","07","Chicago Bulls","foul","","","","","","","","","","","","","","","","","25-27","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=134"
"3","5","53","Chicago Bulls","shot","","","","","","","","","","Deng","","","","missed","","Reverse Layup","46-57","3","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=334"
