" quarter@NBA"," quarter@br"," time@br"," time@NBA"," team@br"," team@NBA"," eventtype@br"," eventtype@NBA"," block@br"," block@NBA"," left@br"," numfreeshot@br"," numfreeshot@NBA"," opponent@br"," opponent@NBA"," outof@br"," outof@NBA"," points@br"," points@NBA"," possession@br"," possession@NBA"," reason@br"," reason@NBA"," result@br"," result@NBA"," steal@br"," steal@NBA"," type@br"," type@NBA"," x@br"," x@NBA"," y@br"," y@NBA"," score@br"," score@NBA"," shotdistance@br"," shotdistance @NBA","assist_first@br","assist_last@br"," assist@NBA","awayjumpball_first@br","awayjumpball_last@br"," awayjumpball@NBA","homejumpball_first@br","homejumpball_last@br"," homejumpball@NBA","entered_first@br","entered_last@br"," entered@NBA","left_0@br","left_1@br"," left@NBA","player_first@br","player_last@br"," player@NBA","Confidence"
"1","1","8.59","8.59","Dallas Mavericks","Dallas Mavericks","shot","shot","","","","","","","","","","2","2","","","","","made","made","","","jump-shot","Jump Shot","393","","73","","2-4","2-4","14","14","Jason","Kidd","Kidd","","","","","","","","","","","","","Dirk","Nowitzki","Nowitzki","97"
"1","1","8.45","8.45","Oklahoma City Thunder","Dallas Mavericks","foul","foul","","","","","","Kendrick Perkins","","","","","","","","","","","","","","Shooting","Shooting","","","","","2-4","2-4","","","","","","","","","","","","","","","","","","Dirk","Nowitzki","Nowitzki","86"
"1","1","8.45","8.45","Oklahoma City Thunder","Oklahoma City Thunder","free throw","free throw","","","","1","1","","","2","2","","1","","","foul","foul","made","made","","","","","","","","","3-4","3-4","","","","","","","","","","","","","","","","","","Kendrick","Perkins","Perkins","97"
"1","1","8.45","8.45","Oklahoma City Thunder","Oklahoma City Thunder","free throw","free throw","","","","2","2","","","2","2","","1","","","foul","foul","made","made","","","","","","","","","4-4","4-4","","","","","","","","","","","","","","","","","","Kendrick","Perkins","Perkins","97"
"1","1","8.33","8.33","Dallas Mavericks","Dallas Mavericks","shot","shot","","","","","","","","","","2","","","","","","missed","missed","","","jump-shot","Turnaround Hook Shot","194","","95","","4-4","4-4","7","7","","","","","","","","","","","","","","","","Brendan","Haywood","Haywood","94"
"1","1","8.30","8.30","Oklahoma City Thunder","Oklahoma City Thunder","rebound","rebound","","","","","","","","","","","","","","","","","","","","Defensive","","","","","","4-4","4-4","","","","","","","","","","","","","","","","","","Kendrick","Perkins","Perkins","94"
"1","1","8.27","8.27","Oklahoma City Thunder","Oklahoma City Thunder","turnover","turnover","","","","","","","","","","","","","","lost ball","Lost Ball","","","Dirk Nowitzki","","","","","","","","4-4","4-4","","","","","","","","","","","","","","","","","","Russell","Westbrook","Westbrook","94"
"1","1","8.13","8.13","Dallas Mavericks","Oklahoma City Thunder","foul","foul","","","","","","Dirk Nowitzki","","","","","","","","","","","","","","Shooting","Shooting","","","","","4-4","4-4","","","","","","","","","","","","","","","","","","Serge","Ibaka","Ibaka","86"
"1","1","8.13","8.13","Dallas Mavericks","Dallas Mavericks","free throw","free throw","","","","1","1","","","2","2","","1","","","foul","foul","made","made","","","","","","","","","4-5","4-5","","","","","","","","","","","","","","","","","","Dirk","Nowitzki","Nowitzki","97"
"1","1","8.13","8.13","Dallas Mavericks","Dallas Mavericks","free throw","free throw","","","","2","2","","","2","2","","1","","","foul","foul","made","made","","","","","","","","","4-6","4-6","","","","","","","","","","","","","","","","","","Dirk","Nowitzki","Nowitzki","97"
"1","1","7.56","7.56","Oklahoma City Thunder","Oklahoma City Thunder","turnover","turnover","","","","","","","","","","","","","","lost ball","Lost Ball","","","Delonte West","","","","","","","","4-6","4-6","","","","","","","","","","","","","","","","","","Kendrick","Perkins","Perkins","94"
"1","1","7.46","7.46","Dallas Mavericks","Dallas Mavericks","shot","shot","","","","","","","","","","3","","","","","","missed","missed","","","jump-shot","3PT Jump Shot","461","","176","","4-6","4-6","25","25","","","","","","","","","","","","","","","","Shawn","Marion","Marion","94"
"1","1","7.45","7.45","Oklahoma City Thunder","Oklahoma City Thunder","rebound","rebound","","","","","","","","","","","","","","","","","","","","Defensive","","","","","","4-6","4-6","","","","","","","","","","","","","","","","","","Serge","Ibaka","Ibaka","94"
"1","1","7.33","7.33","Oklahoma City Thunder","Oklahoma City Thunder","shot","shot","","","","","","","","","","2","","","","","","missed","missed","","","jump-shot","Jump Shot","168","","185","","4-6","4-6","16","16","","","","","","","","","","","","","","","","Kevin","Durant","Durant","94"
"1","1","7.32","7.32","Dallas Mavericks","Dallas Mavericks","rebound","rebound","","","","","","","","","","","","","","","","","","","","Defensive","","","","","","4-6","4-6","","","","","","","","","","","","","","","","","","Brendan","Haywood","Haywood","94"
"1","1","7.28","7.28","Dallas Mavericks","Dallas Mavericks","shot","shot","","","","","","","","","","2","","","","","","missed","missed","","","jump-shot","Running Layup","259","","57","","4-6","4-6","1","1","","","","","","","","","","","","","","","","Shawn","Marion","Marion","94"
"1","1","7.27","7.27","Oklahoma City Thunder","Oklahoma City Thunder","rebound","rebound","","","","","","","","","","","","","","","","","","","","Defensive","","","","","","4-6","4-6","","","","","","","","","","","","","","","","","","Russell","Westbrook","Westbrook","94"
"1","1","7.19","7.19","Oklahoma City Thunder","Oklahoma City Thunder","shot","shot","","","","","","","","","","2","2","","","","","made","made","","","jump-shot","Driving Layup","235","","53","","6-6","6-6","2","2","","","","","","","","","","","","","","","","Russell","Westbrook","Westbrook","97"
"1","1","6.59","6.59","Dallas Mavericks","Dallas Mavericks","shot","shot","","","","","","","","","","2","2","","","","","made","made","","","jump-shot","Finger Roll Layup","242","","50","","6-8","6-8","1","1","Jason","Kidd","Kidd","","","","","","","","","","","","","Shawn","Marion","Marion","97"
"1","1","6.39","6.39","Oklahoma City Thunder","Dallas Mavericks","foul","foul","","","","","","Kevin Durant","","","","","","","","","","","","","","Shooting","Shooting","","","","","6-8","6-8","","","","","","","","","","","","","","","","","","Shawn","Marion","Marion","86"
"1","1","6.39","6.39","Oklahoma City Thunder","Oklahoma City Thunder","free throw","free throw","","","","1","1","","","2","2","","","","","foul","foul","missed","missed","","","","","","","","","6-8","6-8","","","","","","","","","","","","","","","","","","Kevin","Durant","Durant","100"
"1","1","6.39","6.39","Oklahoma City Thunder","Oklahoma City Thunder","rebound","rebound","","","","","","","","","","","","","","","","","","","","Offensive","","","","","","6-8","6-8","","","","","","","","","","","","","","","","","","","","","94"
"1","1","6.39","6.39","Oklahoma City Thunder","Oklahoma City Thunder","free throw","free throw","","","","2","2","","","2","2","","1","","","foul","foul","made","made","","","","","","","","","7-8","7-8","","","","","","","","","","","","","","","","","","Kevin","Durant","Durant","97"
"1","1","6.26","6.26","Dallas Mavericks","Dallas Mavericks","turnover","turnover","","","","","","","","","","","","","","bad pass","Bad Pass","","","Russell Westbrook","","","","","","","","7-8","7-8","","","","","","","","","","","","","","","","","","Dirk","Nowitzki","Nowitzki","94"
"1","1","6.18","6.18","Oklahoma City Thunder","Oklahoma City Thunder","shot","shot","","","","","","","","","","2","2","","","","","made","made","","","layup","Alley Oop Dunk","250","","51","","9-8","9-8","","","Russell","Westbrook","Westbrook","","","","","","","","","","","","","Kevin","Durant","Durant","97"
"1","1","6.17","6.17","Dallas Mavericks","Dallas Mavericks","timeout","timeout","","","","","","","","","","","","","","","","","","","","full","","","","","","9-8","9-8","","","","","","","","","","","","","","","","","","","","","94"
"1","1","6.04","6.04","Dallas Mavericks","Oklahoma City Thunder","foul","foul","","","","","","Delonte West","","","","","","","","","","","","","","Personal","Personal","","","","","9-8","9-8","","","","","","","","","","","","","","","","","","Kendrick","Perkins","Perkins","86"
"1","1","5.59","5.59","Dallas Mavericks","Dallas Mavericks","turnover","turnover","","","","","","","","","","","","","","out of bounds lost ball","Out of Bounds Lost Ball","","","","","","","","","","","9-8","9-8","","","","","","","","","","","","","","","","","","Delonte","West","West","94"
"1","1","5.44","5.44","Oklahoma City Thunder","Oklahoma City Thunder","shot","shot","","","","","","","","","","2","","","","","","missed","missed","","","jump-shot","Pullup Jump Shot","383","","222","","9-8","9-8","22","22","","","","","","","","","","","","","","","","Kevin","Durant","Durant","94"
"1","1","5.42","5.42","Dallas Mavericks","Dallas Mavericks","rebound","rebound","","","","","","","","","","","","","","","","","","","","Defensive","","","","","","9-8","9-8","","","","","","","","","","","","","","","","","","Brendan","Haywood","Haywood","94"
"1","1","5.25","5.25","Dallas Mavericks","Dallas Mavericks","shot","shot","","","","","","","","","","2","2","","","","","made","made","","","layup","Driving Layup","251","","51","","9-10","9-10","","","","","","","","","","","","","","","","","","Dirk","Nowitzki","Nowitzki","97"
"1","1","5.04","5.04","Oklahoma City Thunder","Oklahoma City Thunder","shot","shot","","","","","","","","","","2","","","","","","missed","missed","","","jump-shot","Jump Shot","256","","91","","9-10","9-10","4","4","","","","","","","","","","","","","","","","Russell","Westbrook","Westbrook","94"
"1","1","5.03","5.03","Dallas Mavericks","Dallas Mavericks","rebound","rebound","","","","","","","","","","","","","","","","","","","","Defensive","","","","","","9-10","9-10","","","","","","","","","","","","","","","","","","Jason","Kidd","Kidd","94"
"1","1","4.48","4.48","Dallas Mavericks","Dallas Mavericks","shot","shot","","","","","","","","","","2","","","","","","missed","missed","","","jump-shot","Jump Shot","396","","53","","9-10","9-10","15","15","","","","","","","","","","","","","","","","Shawn","Marion","Marion","94"
"1","1","4.47","4.47","Oklahoma City Thunder","Oklahoma City Thunder","rebound","rebound","","","","","","","","","","","","","","","","","","","","Defensive","","","","","","9-10","9-10","","","","","","","","","","","","","","","","","","Kevin","Durant","Durant","94"
"1","1","4.47","4.47","Oklahoma City Thunder","Dallas Mavericks","foul","foul","","","","","","Kevin Durant","","","","","","","","","","","","","","Personal","Personal","","","","","9-10","9-10","","","","","","","","","","","","","","","","","","Shawn","Marion","Marion","86"
"1","1","4.47","4.47","Dallas Mavericks","Dallas Mavericks","substitute","substitute","","","Shawn Marion","","","","","","","","","","","","","","","","","","","","","","","9-10","9-10","","","","","","","","","","","","Vince","Carter","Carter","Shawn","Marion","Marion","","","","94"
"1","1","4.47","4.47","Dallas Mavericks","Dallas Mavericks","substitute","substitute","","","Dirk Nowitzki","","","","","","","","","","","","","","","","","","","","","","","9-10","9-10","","","","","","","","","","","","Lamar","Odom","Odom","Dirk","Nowitzki","Nowitzki","","","","94"
"1","1","4.30","4.30","Oklahoma City Thunder","Oklahoma City Thunder","shot","shot","","","","","","","","","","2","","","","","","missed","missed","","","jump-shot","Pullup Jump Shot","153","","193","","9-10","9-10","17","17","","","","","","","","","","","","","","","","Russell","Westbrook","Westbrook","94"
"1","1","4.27","4.27","Dallas Mavericks","Dallas Mavericks","rebound","rebound","","","","","","","","","","","","","","","","","","","","Defensive","","","","","","9-10","9-10","","","","","","","","","","","","","","","","","","Jason","Kidd","Kidd","94"
"1","1","4.21","4.21","Dallas Mavericks","Dallas Mavericks","turnover","turnover","","","","","","","","","","","","","","lost ball","Lost Ball","","","Russell Westbrook","","","","","","","","9-10","9-10","","","","","","","","","","","","","","","","","","Delonte","West","West","94"
"1","1","4.15","4.15","Oklahoma City Thunder","Oklahoma City Thunder","shot","shot","","","","","","","","","","2","2","","","","","made","made","","","jump-shot","Driving Layup","267","","47","","11-10","11-10","2","2","Thabo","Sefolosha","Sefolosha","","","","","","","","","","","","","Serge","Ibaka","Ibaka","97"
"1","1","3.56","3.56","Dallas Mavericks","Dallas Mavericks","shot","shot","","","","","","","","","","2","","","","","","missed","missed","","","jump-shot","Jump Shot","252","","89","","11-10","11-10","4","4","","","","","","","","","","","","","","","","Brendan","Haywood","Haywood","94"
"1","1","3.55","3.55","Oklahoma City Thunder","Oklahoma City Thunder","rebound","rebound","","","","","","","","","","","","","","","","","","","","Defensive","","","","","","11-10","11-10","","","","","","","","","","","","","","","","","","Kendrick","Perkins","Perkins","94"
"1","1","3.43","3.43","Oklahoma City Thunder","Dallas Mavericks","foul","foul","","","","","","Kevin Durant","","","","","","","","","","","","","","Shooting","Shooting","","","","","11-10","11-10","","","","","","","","","","","","","","","","","","Vince","Carter","Carter","86"
"1","1","3.43","3.43","Oklahoma City Thunder","Oklahoma City Thunder","free throw","free throw","","","","1","1","","","2","2","","","","","foul","foul","missed","missed","","","","","","","","","11-10","11-10","","","","","","","","","","","","","","","","","","Kevin","Durant","Durant","100"
"1","1","3.43","3.43","Oklahoma City Thunder","Oklahoma City Thunder","rebound","rebound","","","","","","","","","","","","","","","","","","","","Offensive","","","","","","11-10","11-10","","","","","","","","","","","","","","","","","","","","","94"
"1","1","3.43","3.43","Dallas Mavericks","Dallas Mavericks","substitute","substitute","","","Delonte West","","","","","","","","","","","","","","","","","","","","","","","11-10","11-10","","","","","","","","","","","","Jason","Terry","Terry","Delonte","West","West","","","","94"
"1","1","3.43","3.43","Oklahoma City Thunder","Oklahoma City Thunder","substitute","substitute","","","Kendrick Perkins","","","","","","","","","","","","","","","","","","","","","","","11-10","11-10","","","","","","","","","","","","Nick","Collison","Collison","Kendrick","Perkins","Perkins","","","","94"
"1","1","3.43","3.43","Oklahoma City Thunder","Oklahoma City Thunder","substitute","substitute","","","Thabo Sefolosha","","","","","","","","","","","","","","","","","","","","","","","11-10","11-10","","","","","","","","","","","","James","Harden","Harden","Thabo","Sefolosha","Sefolosha","","","","94"
"1","1","3.43","3.43","Oklahoma City Thunder","Oklahoma City Thunder","free throw","free throw","","","","2","2","","","2","2","","1","","","foul","foul","made","made","","","","","","","","","12-10","12-10","","","","","","","","","","","","","","","","","","Kevin","Durant","Durant","97"
"1","1","3.32","3.32","Dallas Mavericks","Oklahoma City Thunder","foul","foul","","","","","","Lamar Odom","","","","","","","","","","","","","","Shooting","Shooting","","","","","12-10","12-10","","","","","","","","","","","","","","","","","","Nick","Collison","Collison","86"
"1","1","3.32","3.32","Dallas Mavericks","Dallas Mavericks","free throw","free throw","","","","1","1","","","2","2","","1","","","foul","foul","made","made","","","","","","","","","12-11","12-11","","","","","","","","","","","","","","","","","","Lamar","Odom","Odom","97"
"1","1","3.32","3.32","Dallas Mavericks","Dallas Mavericks","substitute","substitute","","","Brendan Haywood","","","","","","","","","","","","","","","","","","","","","","","12-11","12-11","","","","","","","","","","","","Ian","Mahinmi","Mahinmi","Brendan","Haywood","Haywood","","","","94"
"1","1","3.32","3.32","Dallas Mavericks","Dallas Mavericks","free throw","free throw","","","","2","2","","","2","2","","1","","","foul","foul","made","made","","","","","","","","","12-12","12-12","","","","","","","","","","","","","","","","","","Lamar","Odom","Odom","97"
"1","1","3.19","3.19","Oklahoma City Thunder","Oklahoma City Thunder","shot","shot","","","","","","","","","","2","","","","","","missed","missed","","","jump-shot","Driving Layup","263","","61","","12-12","12-12","2","2","","","","","","","","","","","","","","","","Russell","Westbrook","Westbrook","94"
