" quarter"," time"," team"," eventtype"," block"," left"," numfreeshot"," opponent"," outof"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance","assist_first","assist_last","awayjumpball_first","awayjumpball_last","homejumpball_first","homejumpball_last","entered_first","entered_last","left_0","left_1","player_first","player_last"
"2","5.42","Oklahoma City Thunder","timeout","","","","","","","","","","","short","","","31-40","","","","","","","","","","","","",""
"4","8.18","Dallas Mavericks","timeout","","","","","","","","","","","short","","","70-83","","","","","","","","","","","","",""
