"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","1","12:00.0","","jumpball","","Roy Hibbert","","","Kosta Koufos","","","","","","","","","","","","","","",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","1","11:35.0","Indiana Pacers","shot","","","","","","","","","","Roy Hibbert","2","","","missed","","shot","279","139","0-0","9"
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","1","11:34.0","Denver Nuggets","rebound","","","","","","","","","","Kenneth Faried","","","","","","Defensive","","","0-0",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","1","11:17.0","Denver Nuggets","shot","Danilo Gallinari","","","","","","","","","Kenneth Faried","2","","","made","","dunk","254","45","0-2","1"
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","1","11:03.0","Indiana Pacers","shot","Lance Stephenson","","","","","","","","","Paul George","2","","","made","","jumper","282","204","2-2","16"
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","1","10:44.0","Denver Nuggets","shot","","","","","","","","","","Andre Iguodala","2","","","missed","","jumper","309","236","2-2","20"
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","1","10:44.0","Indiana Pacers","rebound","","","","","","","","","","","","","","","","Defensive","","","2-2",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","1","10:44.0","Indiana Pacers","foul","","","","","","","","Roy Hibbert","","Kosta Koufos","","","","","","Loose ball","","","2-2",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","1","10:26.0","Indiana Pacers","shot","Paul George","","","","","","","","","George Hill","3","","","made","","jumper ","239","305","5-2","26"
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","1","10:09.0","Denver Nuggets","shot","Andre Iguodala","","","","","","","","","Ty Lawson","3","","","made","","jumper ","108","245","5-5","24"
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","1","10:00.0","Indiana Pacers","foul","","","","","","","","Roy Hibbert","","Kenneth Faried","","","","","","Personal","","","5-5",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","1","9:45.0","Indiana Pacers","shot","","","","","","","","","","David West","2","","","missed","","shot","311","54","5-5","6"
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","1","9:44.0","Denver Nuggets","rebound","","","","","","","","","","Andre Iguodala","","","","","","Defensive","","","5-5",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","1","9:37.0","Denver Nuggets","shot","Ty Lawson","","","","","","","","","Andre Iguodala","2","","","made","","shot","250","54","5-7",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","1","9:33.0","Indiana Pacers","foul","","","","","","","","David West","","Kenneth Faried","","","","","","Personal","","","5-7",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","Anthony Randolph","1","9:33.0","Denver Nuggets","substitute","","","","Anthony Randolph","","Kenneth Faried","","","","","","","","","","","","","5-7",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","Anthony Randolph","1","9:26.0","Indiana Pacers","foul","","","","","","","","David West","","Anthony Randolph","","","","","","Shooting","","","5-7",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","Anthony Randolph","1","9:26.0","Indiana Pacers","free throw","","","","","",""," 1","","2","David West","","","foul","made","","","","","6-7",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","Anthony Randolph","1","9:26.0","Indiana Pacers","free throw","","","","","",""," 2","","2","David West","","","foul","missed","","","","","6-7",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","Anthony Randolph","1","9:24.0","Indiana Pacers","rebound","","","","","","","","","","Paul George","","","","","","Offensive","","","6-7",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","Anthony Randolph","1","9:08.0","Indiana Pacers","shot","","","","","","","","","","Paul George","3","","","missed","","jumper ","40","185","6-7","25"
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","Anthony Randolph","1","9:07.0","Denver Nuggets","rebound","","","","","","","","","","Andre Iguodala","","","","","","Defensive","","","6-7",""
