"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"Trevor Ariza","Nene Hilario","Emeka Okafor","John Wall","Martell Webster","Mickael Gelabale","Luke Ridnour","Ricky Rubio","Greg Stiemsma","Derrick Williams","1","12:00.0","","jumpball","","Emeka Okafor","","","Greg Stiemsma","","","","","","","","","","","","","","",""
"Trevor Ariza","Nene Hilario","Emeka Okafor","John Wall","Martell Webster","Mickael Gelabale","Luke Ridnour","Ricky Rubio","Greg Stiemsma","Derrick Williams","1","11:43.0","Washington Wizards","shot","","","","","","","","","","Martell Webster","2","","","missed","","jumper","46","92","0-0","21"
"Trevor Ariza","Nene Hilario","Emeka Okafor","John Wall","Martell Webster","Mickael Gelabale","Luke Ridnour","Ricky Rubio","Greg Stiemsma","Derrick Williams","1","11:42.0","Washington Wizards","rebound","","","","","","","","","","Nene Hilario","","","","","","Offensive","","","0-0",""
"Trevor Ariza","Nene Hilario","Emeka Okafor","John Wall","Martell Webster","Mickael Gelabale","Luke Ridnour","Ricky Rubio","Greg Stiemsma","Derrick Williams","1","11:28.0","Washington Wizards","shot","Emeka Okafor","","","","","","","","","Trevor Ariza","3","","","made","","jumper ","330","294","3-0","26"
"Trevor Ariza","Nene Hilario","Emeka Okafor","John Wall","Martell Webster","Mickael Gelabale","Luke Ridnour","Ricky Rubio","Greg Stiemsma","Derrick Williams","1","11:05.0","Minnesota Timberwolves","shot","Ricky Rubio","","","","","","","","","Derrick Williams","3","","","made","","jumper ","101","251","3-3","25"
"Trevor Ariza","Nene Hilario","Emeka Okafor","John Wall","Martell Webster","Mickael Gelabale","Luke Ridnour","Ricky Rubio","Greg Stiemsma","Derrick Williams","1","10:46.0","Washington Wizards","shot","","","","","","","","","","Emeka Okafor","2","","","missed","","jumper","97","73","3-3","15"
"Trevor Ariza","Nene Hilario","Emeka Okafor","John Wall","Martell Webster","Mickael Gelabale","Luke Ridnour","Ricky Rubio","Greg Stiemsma","Derrick Williams","1","10:45.0","Minnesota Timberwolves","rebound","","","","","","","","","","Ricky Rubio","","","","","","Defensive","","","3-3",""
"Trevor Ariza","Nene Hilario","Emeka Okafor","John Wall","Martell Webster","Mickael Gelabale","Luke Ridnour","Ricky Rubio","Greg Stiemsma","Derrick Williams","1","10:36.0","Minnesota Timberwolves","shot","Ricky Rubio","","","","","","","","","Greg Stiemsma","2","","","made","","layup","245","57","3-5","1"
"Trevor Ariza","Nene Hilario","Emeka Okafor","John Wall","Martell Webster","Mickael Gelabale","Luke Ridnour","Ricky Rubio","Greg Stiemsma","Derrick Williams","1","10:23.0","Washington Wizards","shot","","","","","","","","","","John Wall","2","","","made","","shot","295","237","5-5","19"
"Trevor Ariza","Nene Hilario","Emeka Okafor","John Wall","Martell Webster","Mickael Gelabale","Luke Ridnour","Ricky Rubio","Greg Stiemsma","Derrick Williams","1","10:05.0","Minnesota Timberwolves","shot","","","","","","","","","","Luke Ridnour","2","","","missed","","jumper","158","240","5-5","21"
"Trevor Ariza","Nene Hilario","Emeka Okafor","John Wall","Martell Webster","Mickael Gelabale","Luke Ridnour","Ricky Rubio","Greg Stiemsma","Derrick Williams","1","10:02.0","Minnesota Timberwolves","rebound","","","","","","","","","","Mickael Gelabale","","","","","","Offensive","","","5-5",""
"Trevor Ariza","Nene Hilario","Emeka Okafor","John Wall","Martell Webster","Mickael Gelabale","Luke Ridnour","Ricky Rubio","Greg Stiemsma","Derrick Williams","1","9:58.0","Minnesota Timberwolves","turnover","","","","","","","","","","Mickael Gelabale","","","bad pass","","Nene Hilario","","","","5-5",""
"Trevor Ariza","Nene Hilario","Emeka Okafor","John Wall","Martell Webster","Mickael Gelabale","Luke Ridnour","Ricky Rubio","Greg Stiemsma","Derrick Williams","1","9:51.0","Washington Wizards","shot","Trevor Ariza","","","","","","","","","Martell Webster","3","","","made","","jumper ","476","72","8-5","23"
"Trevor Ariza","Nene Hilario","Emeka Okafor","John Wall","Martell Webster","Mickael Gelabale","Luke Ridnour","Ricky Rubio","Greg Stiemsma","Derrick Williams","1","9:32.0","Minnesota Timberwolves","shot","","","","","","","","","","Derrick Williams","2","","","missed","","jumper","139","226","8-5","21"
"Trevor Ariza","Nene Hilario","Emeka Okafor","John Wall","Martell Webster","Mickael Gelabale","Luke Ridnour","Ricky Rubio","Greg Stiemsma","Derrick Williams","1","9:31.0","Washington Wizards","rebound","","","","","","","","","","Trevor Ariza","","","","","","Defensive","","","8-5",""
"Trevor Ariza","Nene Hilario","Emeka Okafor","John Wall","Martell Webster","Mickael Gelabale","Luke Ridnour","Ricky Rubio","Greg Stiemsma","Derrick Williams","1","9:20.0","Washington Wizards","shot","","","","","","","","","","Trevor Ariza","3","","","missed","","jumper ","18","62","8-5","23"
"Trevor Ariza","Nene Hilario","Emeka Okafor","John Wall","Martell Webster","Mickael Gelabale","Luke Ridnour","Ricky Rubio","Greg Stiemsma","Derrick Williams","1","9:19.0","Minnesota Timberwolves","rebound","","","","","","","","","","Ricky Rubio","","","","","","Defensive","","","8-5",""
"Trevor Ariza","Nene Hilario","Emeka Okafor","John Wall","Martell Webster","Mickael Gelabale","Luke Ridnour","Ricky Rubio","Greg Stiemsma","Derrick Williams","1","9:06.0","Minnesota Timberwolves","shot","","","","","","","","","","Greg Stiemsma","2","","","missed","","layup","262","65","8-5","2"
"Trevor Ariza","Nene Hilario","Emeka Okafor","John Wall","Martell Webster","Mickael Gelabale","Luke Ridnour","Ricky Rubio","Greg Stiemsma","Derrick Williams","1","9:05.0","Washington Wizards","rebound","","","","","","","","","","John Wall","","","","","","Defensive","","","8-5",""
"Trevor Ariza","Nene Hilario","Emeka Okafor","John Wall","Martell Webster","Mickael Gelabale","Luke Ridnour","Ricky Rubio","Greg Stiemsma","Derrick Williams","1","8:56.0","Washington Wizards","shot","","","","","","","","","","Nene Hilario","2","","","missed","","jumper","145","217","8-5","20"
"Trevor Ariza","Nene Hilario","Emeka Okafor","John Wall","Martell Webster","Mickael Gelabale","Luke Ridnour","Ricky Rubio","Greg Stiemsma","Derrick Williams","1","8:55.0","Minnesota Timberwolves","rebound","","","","","","","","","","Ricky Rubio","","","","","","Defensive","","","8-5",""
