" quarter@br","min@br","sec@br"," eventtype@br"," team@br"," outof@br"," numfreeshot@br"," points@br"," reason@br"," result@br"," type@br"," score@br"," shotdistance@br"," x@br"," y@br","assist_0@br","assist_1@br","awayjumpball_0@br","awayjumpball_1@br","block_0@br","block_1@br","entered_0@br","entered_1@br","homejumpball_0@br","homejumpball_1@br","left_0@br","left_1@br","opponent_0@br","opponent_1@br","player_0@br","player_1@br","split_0@br","split_1@br"," quarter@NBA","min@NBA","sec@NBA"," eventtype@NBA"," team@NBA"," outof@NBA"," numfreeshot@NBA"," points@NBA"," reason@NBA"," result@NBA"," type@NBA"," score@NBA"," shotdistance@NBA"," url @NBA"," assist@NBA"," awayjumpball@NBA"," block@NBA"," entered@NBA"," homejumpball@NBA"," left@NBA"," opponent@NBA"," player@NBA"," steal@NBA","Confidence"
"1","9","21.0","rebound","Boston Celtics","","","","","","Defensive","7-5","","","","","","","","","","","","","","","","","","Kevin","Garnett","","","1","9","21","rebound","Boston Celtics","","","","","","","7-5","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=20","","","","","","","","Garnett","","80"
"1","9","03.0","shot","Boston Celtics","","","3","","made","jumper","10-5","25","371","269","Rajon","Rondo","","","","","","","","","","","","","Paul","Pierce","","","1","9","03","shot","Boston Celtics","","","3","","made","3PT Jump Shot","10-5","25","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=22","Rondo","","","","","","","Pierce","","84"
"1","8","37.0","shot","Miami Heat","","","3","","made","jumper","10-8","25","63","220","Dwyane","Wade","","","","","","","","","","","","","Shane","Battier","","","1","8","37","shot","Miami Heat","","","3","","made","3PT Jump Shot","10-8","25","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=23","Wade","","","","","","","Battier","","84"
"1","8","32.0","foul","Boston Celtics","","","","","","Offensive","10-8","","","","","","","","","","","","","","","","Chris","Bosh","Kevin","Garnett","","","1","8","32","foul","Boston Celtics","","","","","","","10-8","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=25","","","","","","","","","","78"
"1","8","32.0","turnover","Boston Celtics","","","","offensive foul","","","","","","","","","","","","","","","","","","","","","Kevin","Garnett","","","1","8","32","turnover","Boston Celtics","","","","Foul","","","10-8","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=400","","","","","","","","Garnett Offensive","","79"
"1","8","20.0","shot","Miami Heat","","","2","","missed","jumper","10-8","18","190","215","","","","","","","","","","","","","","","LeBron","James","","","1","8","20","shot","Miami Heat","","","","","missed","Jump Shot","10-8","18","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=26","","","","","","","","James","","80"
"1","8","19.0","rebound","Boston Celtics","","","","","","Defensive","10-8","","","","","","","","","","","","","","","","","","Brandon","Bass","","","1","8","19","rebound","Boston Celtics","","","","","","","10-8","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=27","","","","","","","","Bass","","80"
"1","8","10.0","shot","Boston Celtics","","","2","","missed","shot","10-8","12","175","147","","","","","","","","","","","","","","","Kevin","Garnett","","","1","8","10","shot","Boston Celtics","","","","","missed","Turnaround Jump Shot","10-8","12","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=28","","","","","","","","Garnett","","80"
"1","8","09.0","rebound","Miami Heat","","","","","","Defensive","10-8","","","","","","","","","","","","","","","","","","LeBron","James","","","1","8","09","rebound","Miami Heat","","","","","","","10-8","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=29","","","","","","","","James","","80"
"1","8","00.0","turnover","Miami Heat","","","","out of bounds lost ball","","","10-8","","","","","","","","","","","","","","","","","","Dwyane","Wade","","","1","8","00","turnover","Miami Heat","","","","Lost Ball","","","10-8","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=30","","","","","","","","Wade Out of Bounds","","79"
"1","7","41.0","shot","Boston Celtics","","","2","","missed","shot","10-8","14","361","139","","","","","","","","","","","","","","","Brandon","Bass","","","1","7","41","shot","Boston Celtics","","","","","missed","Turnaround Jump Shot","10-8","14","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=31","","","","","","","","Bass","","80"
"1","7","40.0","rebound","Miami Heat","","","","","","Defensive","10-8","","","","","","","","","","","","","","","","","","Chris","Bosh","","","1","7","40","rebound","Miami Heat","","","","","","","10-8","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=32","","","","","","","","Bosh","","80"
"1","7","30.0","foul","Miami Heat","","","","","","Shooting","10-8","","","","","","","","","","","","","","","","LeBron","James","Brandon","Bass","","","1","7","30","foul","Boston Celtics","","","","","","Shooting","10-8","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=34","","","","","","","","Bass","","73"
"1","7","30.0","free throw","Miami Heat","2","1","","foul","made","","10-9","","","","","","","","","","","","","","","","","","LeBron","James","","","1","7","30","free throw","Miami Heat","2","1","1","foul","made","","10-9","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=35","","","","","","","","James","","80"
"1","7","30.0","free throw","Miami Heat","2","2","","foul","made","","10-10","","","","","","","","","","","","","","","","","","LeBron","James","","","1","7","30","free throw","Miami Heat","2","2","1","foul","made","","10-10","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=36","","","","","","","","James","","80"
"1","7","11.0","shot","Boston Celtics","","","2","","made","dunk","12-10","2","245","65","Kevin","Garnett","","","","","","","","","","","","","Brandon","Bass","","","1","7","11","shot","Boston Celtics","","","2","","made","Dunk","12-10","2","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=38","Garnett","","","","","","","Bass","","86"
"1","6","59.0","turnover","Miami Heat","","","","lost ball","","","12-10","","","","","","","","","","","","","","","","","","Dwyane","Wade","Paul","Pierce","1","6","59","turnover","Miami Heat","","","","Lost Ball","","","12-10","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=39","","","","","","","","Wade","Pierce","82"
"1","6","53.0","shot","Boston Celtics","","","2","","made","jumper","14-10","18","424","108","Rajon","Rondo","","","","","","","","","","","","","Courtney","Lee","","","1","6","53","shot","Boston Celtics","","","2","","made","Jump Shot","14-10","18","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=40","Rondo","","","","","","","Lee","","84"
"1","6","40.0","shot","Miami Heat","","","2","","made","shot","14-12","8","190","103","","","","","","","","","","","","","","","Dwyane","Wade","","","1","6","40","shot","Miami Heat","","","2","","made","Jump Bank Shot","14-12","8","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=41","","","","","","","","Wade","","82"
"1","6","26.0","turnover","Boston Celtics","","","","traveling","","","14-12","","","","","","","","","","","","","","","","","","Kevin","Garnett","","","1","6","26","turnover","Boston Celtics","","","","Traveling","","","14-12","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=42","","","","","","","","Garnett","","82"
"1","6","26.0","substitute","Boston Celtics","","","","","","","14-12","","","","","","","","","","Jared","Sullinger","","","Kevin","Garnett","","","","","","","1","6","26","substitute","Boston Celtics","","","","","","","14-12","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=43","","","","Sullinger","","Garnett","","","","82"
"1","6","10.0","shot","Miami Heat","","","2","","missed","jumper","14-12","19","87","149","","","","","","","","","","","","","","","Dwyane","Wade","","","1","6","10","shot","Miami Heat","","","","","missed","Jump Shot","14-12","19","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=45","","","","","","","","Wade","","80"
"1","6","09.0","rebound","Boston Celtics","","","","","","Defensive","14-12","","","","","","","","","","","","","","","","","","Brandon","Bass","","","1","6","09","rebound","Boston Celtics","","","","","","","14-12","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=46","","","","","","","","Bass","","80"
"1","6","04.0","turnover","Boston Celtics","","","","bad pass","","","14-12","","","","","","","","","","","","","","","","","","Rajon","Rondo","Mario","Chalmers","1","6","04","turnover","Boston Celtics","","","","Bad Pass","","","14-12","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=47","","","","","","","","Rondo","Chalmers","82"
"1","5","59.0","shot","Miami Heat","","","2","","made","shot","14-14","1","251","57","","","","","","","","","","","","","","","Mario","Chalmers","","","1","5","59","shot","Miami Heat","","","2","","made","Running Layup","14-14","1","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=48","","","","","","","","Chalmers","","82"
"1","5","48.0","shot","Boston Celtics","","","3","","made","jumper","17-14","25","4","70","Rajon","Rondo","","","","","","","","","","","","","Courtney","Lee","","","1","5","48","shot","Boston Celtics","","","3","","made","3PT Jump Shot","17-14","25","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=49","Rondo","","","","","","","Lee","","84"
"1","5","39.0","foul","Miami Heat","","","","","","Personal","17-14","","","","","","","","","","","","","","","","Shane","Battier","Jared","Sullinger","","","1","5","39","foul","Boston Celtics","","","","","","Personal","17-14","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=50","","","","","","","","Sullinger","","73"
"1","5","39.0","timeout","Miami Heat","","","","","","full","17-14","","","","","","","","","","","","","","","","","","","","","","1","5","39","timeout","Miami Heat","","","","","","","17-14","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=51","","","","","","","","","","78"
"1","5","28.0","shot","Miami Heat","","","2","","missed","jumper","17-14","21","281","258","","","","","","","","","","","","","","","Chris","Bosh","","","1","5","28","shot","Miami Heat","","","","","missed","Jump Shot","17-14","21","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=55","","","","","","","","Bosh","","80"
"1","5","27.0","rebound","Miami Heat","","","","","","Offensive","17-14","","","","","","","","","","","","","","","","","","LeBron","James","","","1","5","27","rebound","Miami Heat","","","","","","","17-14","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=56","","","","","","","","James","","80"
"1","5","19.0","shot","Miami Heat","","","2","","missed","jumper","17-14","3","284","56","","","","","","","","","","","","","","","Dwyane","Wade","","","1","5","19","shot","Miami Heat","","","","","missed","Jump Shot","17-14","3","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=57","","","","","","","","Wade","","80"
"1","5","18.0","rebound","Miami Heat","","","","","","Offensive","17-14","","","","","","","","","","","","","","","","","","Dwyane","Wade","","","1","5","18","rebound","Miami Heat","","","","","","","17-14","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=58","","","","","","","","Wade","","80"
"1","5","07.0","shot","Miami Heat","","","2","","made","shot","17-16","9","292","128","LeBron","James","","","","","","","","","","","","","Chris","Bosh","","","1","5","07","shot","Miami Heat","","","2","","made","Turnaround Jump Shot","17-16","9","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=59","James","","","","","","","Bosh","","84"
"1","4","38.0","shot","Boston Celtics","","","2","","missed","shot","17-16","","251","51","","","","","","","","","","","","","","","Rajon","Rondo","","","1","4","38","shot","Boston Celtics","","","","","missed","Reverse Layup","17-16","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=60","","","","","","","","Rondo","","78"
"1","4","37.0","rebound","Miami Heat","","","","","","Defensive","17-16","","","","","","","","","","","","","","","","","","Chris","Bosh","","","1","4","37","rebound","Miami Heat","","","","","","","17-16","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=61","","","","","","","","Bosh","","80"
"1","4","23.0","shot","Miami Heat","","","2","","made","shot","17-18","7","179","67","","","","","","","","","","","","","","","LeBron","James","","","1","4","23","shot","Miami Heat","","","2","","made","Turnaround Jump Shot","17-18","7","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=62","","","","","","","","James","","82"
"1","4","09.0","turnover","Boston Celtics","","","","lost ball","","","17-18","","","","","","","","","","","","","","","","","","Brandon","Bass","LeBron","James","1","4","09","turnover","Boston Celtics","","","","Lost Ball","","","17-18","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=63","","","","","","","","Bass","James","82"
"1","4","05.0","shot","Miami Heat","","","2","","made","shot","17-20","1","248","57","LeBron","James","","","","","","","","","","","","","Dwyane","Wade","","","1","4","05","shot","Miami Heat","","","2","","made","Alley Oop Dunk","17-20","1","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=64","James","","","","","","","Wade","","84"
"1","3","53.0","turnover","Boston Celtics","","","","bad pass","","","17-20","","","","","","","","","","","","","","","","","","Courtney","Lee","Shane","Battier","1","3","53","turnover","Boston Celtics","","","","Bad Pass","","","17-20","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=65","","","","","","","","Lee","Battier","82"
"1","3","44.0","shot","Miami Heat","","","2","","missed","hook shot","17-20","9","287","133","","","","","","","","","","","","","","","Chris","Bosh","","","1","3","44","shot","Miami Heat","","","","","missed","Hook Shot","17-20","9","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=66","","","","","","","","Bosh","","80"
"1","3","43.0","rebound","Boston Celtics","","","","","","Defensive","17-20","","","","","","","","","","","","","","","","","","Jared","Sullinger","","","1","3","43","rebound","Boston Celtics","","","","","","","17-20","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=67","","","","","","","","Sullinger","","80"
"1","3","35.0","shot","Boston Celtics","","","2","","missed","jumper","17-20","19","364","199","","","","","","","","","","","","","","","Rajon","Rondo","","","1","3","35","shot","Boston Celtics","","","","","missed","Jump Shot","17-20","19","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=68","","","","","","","","Rondo","","80"
"1","3","34.0","rebound","Boston Celtics","","","","","","Offensive","17-20","","","","","","","","","","","","","","","","","","Brandon","Bass","","","1","3","34","rebound","Boston Celtics","","","","","","","17-20","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=69","","","","","","","","Bass","","80"
"1","3","29.0","shot","Boston Celtics","","","2","","made","jumper","19-20","13","267","176","Brandon","Bass","","","","","","","","","","","","","Courtney","Lee","","","1","3","29","shot","Boston Celtics","","","2","","made","Jump Shot","19-20","13","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=70","Bass","","","","","","","Lee","","84"
"1","3","14.0","shot","Miami Heat","","","2","","made","jumper","19-22","17","361","176","Dwyane","Wade","","","","","","","","","","","","","Chris","Bosh","","","1","3","14","shot","Miami Heat","","","2","","made","Jump Shot","19-22","17","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=71","Wade","","","","","","","Bosh","","84"
"1","3","01.0","shot","Boston Celtics","","","2","","made","jumper","21-22","15","245","201","Rajon","Rondo","","","","","","","","","","","","","Brandon","Bass","","","1","3","01","shot","Boston Celtics","","","2","","made","Jump Shot","21-22","15","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=72","Rondo","","","","","","","Bass","","84"
