a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,9:16.0,Oklahoma City Thunder,shot,,,,,,,,,,Russell Westbrook,2,,,missed,,jump-shot,372,193,2-2,19
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,9:15.0,Dallas Mavericks,rebound,,,,,,,,,,Brendan Haywood,,,,,,Defensive,,,2-2,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,8:59.0,Dallas Mavericks,shot,Jason Kidd,,,,,,,,,Dirk Nowitzki,2,,,made,,jump-shot,393,73,2-4,14
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,8:45.0,Oklahoma City Thunder,foul,,,,,,,,Kendrick Perkins,,Dirk Nowitzki,,,,,,Shooting,,,2-4,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,8:45.0,Oklahoma City Thunder,free throw,,,,,,, 1,,2,Kendrick Perkins,,,foul,made,,,,,3-4,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,8:45.0,Oklahoma City Thunder,free throw,,,,,,, 2,,2,Kendrick Perkins,,,foul,made,,,,,4-4,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,8:33.0,Dallas Mavericks,shot,,,,,,,,,,Brendan Haywood,2,,,missed,,jump-shot,194,95,4-4,7
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,8:30.0,Oklahoma City Thunder,rebound,,,,,,,,,,Kendrick Perkins,,,,,,Defensive,,,4-4,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,8:27.0,Oklahoma City Thunder,turnover,,,,,,,,,,Russell Westbrook,,,lost ball,,Dirk Nowitzki,,,,4-4,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,8:13.0,Dallas Mavericks,foul,,,,,,,,Dirk Nowitzki,,Serge Ibaka,,,,,,Shooting,,,4-4,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,8:13.0,Dallas Mavericks,free throw,,,,,,, 1,,2,Dirk Nowitzki,,,foul,made,,,,,4-5,
